# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ተለየ፟ 2nd ተለየ፟ህ	ተለይ፟ቷል	ይለ፟ይ፟	ይለ፟ያ፟ል	ይለ፟ይ ፤ ይ፟ለዩ፟		ተለይ፟ቶ	መለየ፟ት	ተለዪ፟	be distinguished	p
ተለጐ፟መ	ተለጕ፟ሟል	ይ፟ለጐ፟ም	ይለ፟ጐ፟ማል	ይለ፟ጐም		ተለጕ፟ሞ	መለ፟ጐም		have a bridle put on	p
ተላጨ፟ 2nd ተላጨ፟ህ	ተላጭቷል	ይላ፟ጭ፟	ይላ፟ጫ፟ል	ይላ፟ጭ	ተላጭ	ተላጭቶ	መላ፟ጨት	ተላጪ	be shaved	p
ተመላለ፟ሰ	ተመላልሷል	ይመ፟ላለስ	ይመ፟ላለሳል	ይመ፟ላለስ	ተመ፟ላለሰ	ተመላልሶ	መመ፟ላለስ	ተመላላሽ	come and go 	i
ተመለ፟ሰ	ተመል፟ሷል	ይመ፟ለ፟ስ	ይመ፟ለ፟ሳል	ይመ፟ለስ	ተመለስ	ተመል፟ሶ	መመ፟ለስ	ተመላ፟ሽ	return	i
ተመለከተ	ተመልክቷል	ይመ፟ለከት	ይመ፟ለከታል	ይመ፟ልከት	ተመልከት	ተመልክቶ	መመ፟ልከት	ተመልካች	watch	t
ታመ፟መ	ታሟ፟ል	ይታ፟መ፟ም	ይታ፟መ፟ማል	ይታ፟መም		ታሞ፟	መታ፟መም	ታማሚ	be ill	i
ተመራ፟	ተመርቷል	ይመ፟ራ፟	ይመ፟ራ፟ል	ይመ፟ራ	ተመራ	ተመርቶ	መመ፟ራት	ተመሪ	be guided	p
ተማረ	ተምሯል	ይማ፟ር	ይማ፟ራል	ይማ፟ር	ተማር	ተምሮ	መማ፟ር	ተማሪ	(a) learn (b) be forgiven	p
ተመረመረ	ተመርምሯል	ይመ፟ርመር	ይመ፟ረመራል	ይመ፟ርመር		ተመርምሮ	መመ፟ርመር	ተመርማሪ	be examined	p
ተመረ፟ረ	ተመሯ፟ል	ይመ፟ረ፟ር	ይመ፟ረራ፟ል	አይመ፟ረር	አት፟መ፟ረር	ተመሮ፟	መመ፟ረር	ተመራሪ	be annoyed	i
ተማረ፟ከ	ተማርኳል	ይማ፟ረ፟ክ	ይማ፟ረ፟ካል	ይማ፟ረክ	ተማረክ	ተማርኮ	መማ፟ረክ	ተማራኪ	be captured	p
ተመረ፟ጠ	ተመርጧል	ይመ፟ረ፟ጥ	ይመ፟ረ፟ጣል	ይመ፟ረጥ	ተመረጥ	ተመርጦ	መመ፟ረጥ	ተመራጭ	be chosen	p
ተመሰገነ	ተመስግኗል	ይመ፟ስገን	ይመ፟ሰገናል	ይመ፟ሰገን	ተመስገን	ተመስግኖ	መመ፟ስገን	ተመስጋኝ	be praised	p
ተምበረከከ	ተምበርክኳል	ይምበርከክ	ይምበረከካል	ይምበርከክ	ተምበርከክ	ተምበርክኮ	መምበርከክ	ተምበርካኪ	kneel	i
ተመታ፟	ተመት፟ቷል	ይመ፟ታ፟	ይመ፟ታ፟ል	ይመ፟ታ	ተመታ	ተመትቶ፟	መመ፟ታት	ተመች	be struck	
ተማታ፟	ተማት፟ቷል	ይማ፟ታ፟	ይማ፟ታ፟ል	ይማ፟ታ	ተማታ	ተማትቶ፟	መማ፟ታት	ተማች	come to blows	i
ተመቸ፟	ተመችቷል	ይመ፟ች፟	ይመ፟ቻ፟ል	ይመ፟ች		ተመች፟ቶ	መመ፟ቸት	ተመች	be suitable	i
ታመ፟ነ 	ታም፟ኗል	ይታመ፟ን	ይታመ፟ናል	ይታ፟መን 	ታመን	ታምኖ	መታ፟መን	ታማ፟ኝ	be believed, believe	p,t
ተመነዘረ	ተመንዝሯል	ይመ፟ነዘር	ይመ፟ነዘራል	ይመ፟ንዘር		ተመንዝሮ	መመ፟ንዘር	ተመንዛሪ	be changed	p
ተመኘ፟ 2nd ኘ፟ህ	ተመኝ፟ቷል	ይመ፟ኝ፟	ይመ፟ኛ፟ል	ይመ፟ኝ	ተመኝ	ተመኝ፟ቶ	መመ፟ኘት	ተመኝ፟	long for	t
ተማከ፟ረ	ተማክሯል	ይማ፟ከ፟ር 	ይማ፟ከ፟ራል	ይማ፟ከር	ተማከር	ተማክሮ	መማ፟ከር	ተማከሪ	deliberate	i
ተሞከረ	ተሞክ፟ሯል	ይሞከር	ይሞ፟ከ፟ራል	ይሞ፟ከር		ተሞክሮ 	መሞ፟ከር	ተሞካሪ	be tried	p
ተመዘ፟ነ	ተመዝ፟ኗል	ይመ፟ዘ፟ን	ይመ፟ዘ፟ናል	ይመ፟ዘን	ተመዘን	ተመዝ፟ኖ	መመ፟ዘን	ተመዛ፟ኝ	weigh, be weighed	i,p
ተመገ፟በ	ተመግ፟ቧል	ይመ፟ገ፟ብ	ይመ፟ገ፟ባል	ይመ፟ገብ	ተመገብ	ተመግ፟ቦ	መመ፟ገብ	ተመጋ፟ቢ	be fed	p
ታረ፟መ	ታር፟ሟል	ይታ፟ረ፟ም	ይታ፟ረ፟ማል	ይታ፟ረም		ታር፟ሞ	መታ፟ረም		be weeded	p
ተረራቁ	ተረርቀዋል	ይረ፟ራቁ	ይረ፟ራቃሉ	ይረ፟ራቁ	ተረራቁ	ተረርቀው	መረ፟ራቅ	ተረራቆች	be separated	p
ተራረ፟ቀ	ተራርቋል	ይተ፟ራረ፟ቅ	ይተ፟ራረ፟ቃል	ይተራረቀ	ተራረቅ	ተራርቆ	መተ፟ራረቅ	ተራራቂ	make peace	i
ተራራቁ	ተራርቀዋል	ይራ፟ራቁ	ይራ፟ራቃሉ፟	ይራ፟ራቁ	ተራራቁ	ተራርቀው	መራ፟ራቅ	ተራራቆች	be separated	p
ተረሳ፟	ተረስቷል	ይረ፟ሳ፟	ይረ፟ሳ፟ል	ይረ፟ሳ		ተረስቶ	መረ፟ሳት	ተረሽ	be forgotten	p
ተረ፟በ	ተር፟ቧል	ይተር፟ብ	ይተር፟ባል	ይተር፟ብ	ተር፟ብ	ተር፟ቦ	መተረ፟ብ	ተራ፟ቢ	play 	i
ተራበ	ተርቧል	ይራ፟ብ	ይራ፟ባል	ይራ፟ብ	ተራበ	ተርቦ	መራ፟ብ	ተራቢ	be hungry	i
ተረታ፟	ተረት፟ቷል	ይረ፟ታ፟	ይረ፟ታ፟ል	ይረ፟ታ	ተረታ	ተረትቶ፟	መረ፟ታት	ተረች	be overcame	p
ተረተ፟ረ	ተርትሯል	ይተረት፟ር	ይተረት፟ራል	ይተርትር	ተርትር	ተርትሮ	መተርተር	ተርታሪ	crack	t
ተረ፟ከ	ተርኳል	ይተርክ	ይተርካል	ይትረክ	ትረክ	ተርኮ	መትረክ	ተራኪ	narrate	t
				ይተር፟ክ	ተር፟ክ		መተር፟ክ			
ተረጐ፟መ	ተርጕሟል	ይተረጕም	ይተረጕ፟ማል	ይተርጕም	ተርጕም	ተርጕሞ	መተርጐም	ተርጓሚ	interpret	t
ተርገበገበ	ተርገብግቧል	ይርገበገብ	ይርገበገባል	ይርገብገብ	ተርገብገብ	ተርገብግቦ	መርገብገብ	ተርገብጋቢ	wave	i
ተረ፟ፈ	ተርፏል	ይተርፍ	ይተርፋል	ይትረፍ		ተርፎ	መትረፍ	ተራፊ	remain over	i
ተሰለ፟ፈ	ተሰል፟ፏል	ይሰ፟ለ፟ፍ	ይሰ፟ለ፟ፋል	ይሰ፟ለፍ	ተሰለፍ	ተሰል፟ፎ	መሰ፟ለፍ	ተሰላ፟ፊ	be paraded	p
ተሰማ፟	ተሰምቷል	ይ፟ሰማ፟	ይሰ፟ማል	ይሰ፟ማ	ተሰማ	ተሰምቶ	መሰ፟ማት	ተሰሚ	be heard	p
ተሰማ፟ማ	ተሰማምቷል	ይሰ፟ማማ፟	ይሰ፟ማማ፟ል	ይሰ፟ማማ	ተሰማማ	ተሰማምቶ	መሰ፟ማማት	ተሰማሚ	make peace 	i
ተሰማማ	ተሰማ	ይሰማ	ይሰ፟ማ	ይሰ፟ማ	ተሰ፟ማ	ተሰማ	መስ፟ማ	ተሰማ		
ተሰመረ፟ 2nd ረ፟ህ	ተሰመርቷል	ይሰ፟መር፟	ይሰ፟መራ፟ል	ይሰ፟መር		ተሰመርቶ	መሰ፟መረት	ተሰማሪ	graze	i
ተሰማራ፟	ተሰማርቷል	ይሰ፟ማራ፟	ይሰ፟ማራ፟ል	ይሰ፟ማራ		ተሰማርቶ	መሰ፟ማራት	ተሰማሪ	graze	i
ተሰራ፟	ተሰርቷል	ይ፟ሰራ፟	ይሰ፟ራ፟ል	ይሰ፟ራ		ተሰርቶ	መሰ፟ራት	ተሰሪ	be built, be decreed	p,p
ታሰ፟ረ	ታስሯል	ይታ፟ሰ፟ር	ይታ፟ሰ፟ራል	ይታ፟ሰር	ታሰር	ታስሮ	መታ፟ሰር	ታሳሪ	be tied	p
ተሰረሰ፟ረ	ተሰርስሯል	ይሰ፟ርሰ፟ር	ይሰ፟ረሰ፟ራል	ይሰ፟ርሰር		ተሰርስሮ	መሰ፟ርሰር	ተሰርስሪ	be bored	p
ተሰረ፟ቀ	ተሰርቋል	ይሰ፟ረ፟ቅ	ይሰ፟ረ፟ቃል	ይሰ፟ረቅ		ተሰርቆ	መሰ፟ረቅ	ተሰራቂ	be stolen	p
ተሰሳተ	ተሰስቷል	ይሰ፟ሳት	ይሰ፟ሳታል	ይሰ፟ሳት	ተሰሳት	ተሰስቶ	መሰ፟ሳት	ተሰሳች	be confused	i
ተሳሳተ	ተሳስቷል	ይሳ፟ሳት	ይሳ፟ሳታል	ይሳ፟ሳት	ተሳሳት	ተሳስቶ	መሳ፟ሳት	ተሳሳች	be confused	i
ተሰቀ፟ለ	ተሰቅሏል	ይሰ፟ቀ፟ል	ይሰ፟ቀ፟ላል	ይ፟ሰቀል	ተሰቀል	ተሰቅሎ	መሰ፟ቀል	ተሰቃይ	be suspended, ride	p, i
ተሳበ	ተስቧል	ይሳ፟ብ	ይሳ፟ባል	ይሳ፟ብ	ተሳብ	ተስቦ	መሳ፟ብ	ተሳቢ	be drawn	p
ተሰበ፟ረ	ተሰብሯል	ይሰ፟በ፟ር	ይሰ፟በ፟ራል	ይሰ፟በር	ተሰበር	ተሰብሮ	መሰ፟በር	ተሰባሪ	be broken	p
ተሰበሰ፟በ	ተሰ፟ብስቧል	ይ፟ሰበሰ፟ብ	ይሰ፟በሰ፟ባል	ይሰ፟ብሰብ	ተሰብሰብ	ተሰብስቦ	መሰ፟ብሰብ	ተሰብሳቢ	be gathered	p
ተሰባበ፟ረ	ተሰባብሯል	ይሰ፟ባበር	ይሰ፟ባበ፟ራል	ይሰ፟ባበር	ተሰባበር	ተሰባብሮ	መሰ፟ባበር	ተሰባባሪ	be shattered	p
ተሳተ	ተስቷል	ይሳ፟ት	ይሳ፟ታል	ይሳ፟ት		ተስቶ	መሳ፟ት		be missed	p
ተሰናበ፟ተ	ተሰናብቷል	ይሰ፟ናበት	ይሰ፟ናበታል	ይሰ፟ናበት	ተሰናበት	ተሰናብቶ	መሰ፟ናበት	ተሰናባች	be dismissed	p
ተሰናዳ፟	ተሰናድቷል	ይሰ፟ናዳ፟	ይሰ፟ናዳ፟ል	ይሰ፟ናዳ	ተሰናዳ	ተሰናድቶ	መሰ፟ናዳት	ተሰናጅ	be prepared	p
ተሰ፟ነጠቀ	ተሰንጥቋል	ይሰ፟ነጠ፟ቅ	ይሰ፟ነጠ፟ቃል	ይሰ፟ንጠቅ		ተሰንጥቆ	መሰ፟ንጠቅ	ተሰንጣቂ	be split	p
ተሰወረ	ተሰውሯል	ይሰ፟ወር	ይሰ፟ወራል	ይሰ፟ወር	ተሰወር	ተሰውሮ	መሰ፟ወር	ተሰዋሪ	be hidden	p
ተሰደ፟በ	ተሰድቧል	ይሰ፟ደ፟ብ	ይሰ፟ደ፟ባል	ይሰ፟ደብ		ተሰድቦ	መሰ፟ደብ	ተሰዳ፟ቢ	be abused	p
ተሳደ፟ደ	ተሳዷ፟ል	ይሳ፟ደ፟ድ	ይሳ፟ደ፟ዳል	ይሳ፟ደድ	ተሳደድ	ተሳዶ፟	መሳ፟ደድ	ተሳዳጅ	migrate	i
ተሰዳደቡ	ተሰዳድበዋል	ይሰ፟ዳደቡ	ይሰ፟ዳደባሉ	ይሰ፟ዳደቡ	ተሰዳደቡ	ተሰዳድበው	መሰ፟ዳደብ	ተሰዳዳቦች	quarrel	i
ተሰጠ፟ 2nd ጠ፟ህ	ተሰጥቷል	ይሰ፟ጥ፟	ይሰ፟ጣ፟ል	ይሰ፟ጥ		ተሰጥቶ	መሰ፟ጠት	ተሰጭ-ጪ	be given  	p
ተስፋ፟	ተሰፍቷል	ይስ፟ፋ፟	ይሰ፟ፋ፟ል	ይሰ፟ፋ		ተሰፍቶ	መሰ፟ፋት	ተሰፊ	be sewn	p
ታሸ፟ 2nd ታሸ፟ህ	ታሽቷል	ይታ፟ሽ፟	ይታ፟ሻ፟ል	ይታ፟ሽ		ታሽቶ	መታ፟ሸት		be rubbed	p
ተሻለ	ተሽሏል	ይሻ፟ል	ይሻ፟ላል			ተሽሎ	መሻ፟ል		be better	i
ተሻማ፟	ተሻምቷል	ይሻ፟ማ፟	ይሻ፟ማ፟ል	ይሻ፟ማ	ተሻማ	ተሻምቶ	መሻ፟ማት	ተሻሚ	scramble for	t
ተሾመ	ተሹሟል	ይሾ፟ም	ይሾ፟ማል	ይሾ፟ም	ተሾም	ተሹሞ	መሾ፟ም	ተሿሚ	be set in authority	p
ተሸሸ፟ገ	ተሸሽ፟ጓል	ይሸ፟ሸ፟ግ	ይሸ፟ሸ፟ጋል	ይሸ፟ሸግ	ተሸሸግ	ተሸሽ፟ጎ	መሸ፟ሸግ	ተሸሻ፟ጊ	be hidden	p
ተሸኘ፟ 2nd ኘ፟ህ	ተሸኝ፟ቷል	ይሸ፟ኝ፟	ይሸ፟ኛ፟ል	ይሸ፟ኝ	ተሸኝ	ተሸኝ፟ቶ	መሸ፟ኘ፟ት	ተሸኚ፟	be escorted	p
ተሸከ፟መ	ተሸክ፟ሟል	ይሸ፟ከ፟ም	ይሸ፟ከ፟ማል	ይሸ፟ከም	ተሸከም	ተሸክ፟ሞ	መሸ፟ከም	ተሸካ፟ሚ	be laden	p
ተሻገ፟ረ	ተሻግሯል	ይሻ፟ገ፟ር	ይሻ፟ገ፟ራል	ይሻ፟ገር	ተሻገር	ተሻግሮ	መሻ፟ገር	ተሻጋሪ	cross	t
ተሸጠ	ተሺጧል	ይሸ፟ጥ	ይሸ፟ጣል	ይሸ፟ጥ		ተሺ፟ጦ	መሸጥ	ተሻጭ	be sold	p
ተሸፈ፟ነ	ተሸፍ፟ኗል	ይሸ፟ፈ፟ን	ይሸ፟ፈ፟ናል	ይሸ፟ፈን	ተሸፈን	ተሸፍ፟ኖ	መሸ፟ፈን	ተሸፋ፟ኝ	be wrapped	p
ተቀለ፟መ	ተቀልሟል	ይቀ፟ለ፟ም	ይቀ፟ለ፟ማል	ይቀ፟ለም		ተቀልሞ	መቀ፟ለም	ተቀላሚ	be stained	p
ተቀለቀለ	ተቀልቅሏል	ይቀ፟ለቀ፟ል	ይቀ፟ለቀ፟ላል	ይቀ፟ልቀል		ተቀልቅሎ	መቀ፟ልቀል	ተቀልቃይ	be mixed	p
ተቀላቀለ	ተቀላቅሏል	ይቀ፟ላቀ፟ል	ይቀ፟ላቀ፟ላል	ይቀ፟ላቀል		ተቀላቅሎ	መቀ፟ላቀል	ተቀላቃይ	be mixed	p
ተቈለ፟ፈ	ተቈል፟ፏል	ይቈ፟ለ፟ፍ	ይቈ፟ለ፟ፋል	ይቈ፟ለፍ		ተቈል፟ፎ	መቈ፟ለፍ	ተቈላ፟ፊ	be locked	p
ተቀማ፟	ተቀም፟ቷል	ይቀ፟ማ፟	ይቀ፟ማል	ይቀማ	ተቀማ	ተቀም፟ቶ	መቀ፟ማት	ተቀሚ	be robbed	p
ተቀመ፟ሰ	ተቀምሷል	ይቀ፟መ፟ስ	ይቀ፟መ፟ሳል	ይቀ፟መስ		ተቀምሶ	መቀ፟መስ	ተቀማሽ	be tasted	p
ተቀመ፟ጠ	ተቀም፟ጧል	ይቀ፟መ፟ጥ	ይቀ፟መ፟ጣል	ይቀ፟መጥ	ተቀመጥ	ተቀምጦ፟	መቀ፟መጥ	ተቀማ፟ጭ	sit, ride	i
ተቀራረቡ	ተቀራርበዋል	ይቀ፟ራረቡ	ይቀ፟ራረ፟ባሉ	ይቀ፟ራረቡ	ተቀራረቡ	ተቀራርበው	መቀ፟ራረብ	ተቀራራቦች	be close together	i
ተቀረ፟ጠ	ተቀርጧል	ይቀ፟ረ፟ጥ	ይቀ፟ረ፟ጣል	ይቀ፟ረጥ	ተቀረጥ	ተቀርጦ	መቀ፟ረጥ	ተቀረጭ	pay dues	i
ተቈረ፟ጠ	ተቈርጧል	ይቈ፟ረ፟ጥ	ይቈ፟ረ፟ጣል	ይቈ፟ረጥ	ተቈረጥ	ተቈርጦ	መቈ፟ረጥ	ተቈራጭ	be cut	p
ተቀሰቀ፟ሰ	ተቀስቅሷል	ይቀ፟ስቀ፟ስ	ይቀ፟ሰቀ፟ሳል	ይቀ፟ስቀስ	ተቀ፟ስቀስ	ተቀስቅሶ	መቀ፟ቀስ	ተቀስቃሽ	be roused	p
ተቀቀ፟ለ	ተቀቅ፟ሏል	ይቀ፟ቀል	ይቀ፟ቀ፟ላል	ይቀ፟ቀ፟ል		ተቀቅ፟ሎ	መቀ፟ቀል	ተቀቃ፟ይ	be boiled 	p
ተቀባ፟	ተቀብቷል	ይቀ፟ባ፟	ይቀ፟ባ፟ል	ይቀ፟ባ	ተቀባ	ተቀብቶ	መቀ፟ባት	ተቀቢ	be anointed	p
ተቀበ፟ለ	ተቀብ፟ሏል	ይቀ፟በ፟ል	ይቀ፟በ፟ላል	ይቀ፟በል	ተቀበል	ተቀብ፟ሎ	መቀ፟በል	ተቀባ፟ይ	accept	t
ተቀበ፟ረ	ተቀብሯል	ይቀ፟በ፟ር	ይቀ፟በ፟ራል	ይቀ፟በር		ተቀብሮ	መቀ፟በር	ተቀባሪ	be buried	p
ተቀዳ፟	ተቀድቷል	ይቀ፟ዳ፟	ይቀ፟ዳ፟ል	ይቀ፟ዳ		ተቀድቶ	መቀ፟ዳት	ተቀጅ	be drawn	p
ተቀደ፟መ	ተቀድሟል	ይቀ፟ደም	ይቀ፟ደ፟ማል	ይ፟ቀደም	ተቀደም	ተቀድሞ	መቀ፟ደም	ተቀዳሚ	go in front	i
ተቀደ፟ደ	ተቀዷ፟ል	ይቀ፟ደ፟ድ	ይቀ፟ደ፟ዳል	ይቀ፟ደድ		ተቀዶ፟	መቀ፟ደድ	ተቀዳ፟ጅ	be pierced	p
ተቀጣ፟	ተቀጥ፟ቷል	ይቀ፟ጣ፟	ይቀ፟ጣ፟ል	ይቀ፟ጣ	ተቀጣ	ተቀጥቶ፟	መቀ፟ጣት	ተቀጭ	be punished	p
ተቈጣ፟	ተቈጥቷል	ይቈ፟ጣ፟	ይቈ፟ጣ፟ል	ይቈ፟ጣ	ተቈጣ	ተቈጥቶ	መቈ፟ጣት	ተቈጭ	be angry	i
ተቀጠ፟ለ	ተቀጥ፟ሏል	ይቀ፟ጠ፟ል	ይቀ፟ጠ፟ላል	ይቀ፟ጠል	ተቀጠል	ተቀጥ፟ሎ	መቀ፟ጠል	ተቀጣ፟ይ	be joined	p
ተቃጠ፟ለ	ተቃጥሏል	ይ፟ቃጠ፟ል	ይቃ፟ጠ፟ላል	ይቃ፟ጠል	ተቃጠል	ተቃጥሎ	መቃ፟ጠል	ተቃጣይ	be burnt	p
ተቀጠ፟ረ	ተቀጥሯል	ይ፟ቀ፟ጠር	ይቀ፟ጠ፟ራል	ይቀ፟ጠር	ተቀጠር	ተቀጥሮ	መቀ፟ጠር	ተቀጣ፟ሪ	be engaged	p
ተቈጠ፟ረ	ተቈጥሯል	ይቈ፟ጠ፟ር	ይቈ፟ጠ፟ራል	ይቈጠር	ተቈ፟ጠር	ተቈጥሮ	መቈ፟ጠር	ተቈጣሪ	be counted	p
ተቈጠ፟በ	ተቈጥቧ፟ል	ይቈ፟ጠ፟ብ	ይቈ፟ጠ፟ባል	ይቈ፟ጠብ		ተቈጥ፟ቦ	መቈ፟ጠብ	ተቈጣ፟ቢ	be saved	p
ተቀጠ፟ፈ	ተቀጥፏል	ይቀ፟ጠ፟ፍ	ይቀ፟ጠ፟ፋል	ይቀ፟ጠፍ		ተቀጥፎ	መቀ፟ጠፍ	ተቀጣፊ	be cheated	p
ተቈፈ፟ረ	ተቈፍሯል	ይቈ፟ፈ፟ር	ይቈ፟ፈ፟ራል	ይቈ፟ፈር		ተቈፍ፟ሮ	መቈ፟ፈር	ተቈፋ፟ሪ	be dug	p
ተበላ፟	ተበልቷል	ይበ፟ላ፟	ይበ፟ላ፟ል	ይበ፟ላ	ተበላ	ተበልቶ	መበ፟ላት	ተበይ	be eaten	p
ተባለ	ተብሏል	ይባ፟ል	ይባ፟ላል	ይባ፟ል		ተብሎ	መባ፟ል	ተባይ	be said	p
ተበላሸ፟ 2nd ሸ፟ህ	ተበላሽቷል	ይበ፟ላሽ፟	ይበ፟ላሻ፟ል	ይበ፟ላሽ		ተበላሽቶ	መበ፟ላሸት		be spoiled	p
ተበራ፟	ተበርቷል	ይበ፟ራ፟	ይበ፟ራ፟ል	ይበ፟ራ		ተበርቶ	መበ፟ራት	ተበሪ	be lit	p
ተባረ፟ከ	ተባርኳል	ይባ፟ረ፟ክ	ይባ፟ረ፟ካል	ይባ፟ረክ	ተባረክ	ተባርኮ	መባ፟ረክ	ተባራኪ	be blessed	i
ታበ፟ሰ	ታብ፟ሷል	ይታ፟በ፟ስ	ይታ፟በ፟ሳል	ይታ፟በስ		ታብ፟ሶ	መታ፟በስ	ታባ፟ሽ	be wiped	p
ተበተ፟ነ	ተበት፟ኗል	ይበ፟ተ፟ን	ይበ፟ተ፟ናል	ይበ፟ተን	pl.ተበተ፟ኑ	ተበት፟ኖ	መበ፟ተን	ተበታ፟ኝ	be scattered	p
ተበደ፟ለ	ተበድ፟ሏል	ይበ፟ደ፟ል	ይበ፟ደ፟ላል	ይበ፟ደል	ተበደል	ተበድ፟ሎ	መበ፟ደል	ተበዳ፟ይ	be ill-treated	p
ተበደ፟ረ	ተበድ፟ሯል	ይበ፟ደ፟ር	ይበ፟ደ፟ራል	ይበ፟ደር	ተበደር	ተበድ፟ሮ	መበ፟ደር	ተበዳ፟ሪ	borrow	t
ተበጀ፟ 2nd ጀ፟ህ	ተበጅ፟ቷል	ይበ፟ጅ፟	ይበ፟ጃ፟ል	ይበ፟ጅ		ተበጅ፟ቶ	መበ፟ጀት		be made	p
ተታለ፟ለ	ተታሏ፟ል	ይታ፟ለ፟ል	ይታ፟ለ፟ላል	ይታ፟ለል		ተታሎ፟	መታ፟ለል	ተታላይ	be deceived	p
ታተ፟መ	ታት፟ሟል	ይታ፟ተ፟ም	ይታ፟ተ፟ማል	ይታ፟ተም		ታት፟ሞ	መታ፟ተም	ታታ፟ሚ	be sealed	p
ተተረተ፟ረ	ተተርትሯል	ይተ፟ረተ፟ር	ይተ፟ረተ፟ራል	ይተ፟ርተር	ተተርተር	ተተርትሮ	መተ፟ርተር	ተተርታሪ	be cracked	p
ተተረጐ፟መ	ተተርጕሟል	ይተ፟ረጐ፟ም	ይተ፟ረጐ፟ማል	ይተ፟ርጐም		ተተርጕሞ	መተ፟ርጐም	ተተርጓሚ	be interpreted	p
ተተከ፟ለ	ተተክሏል	ይተ፟ከ፟ል	ይተ፟ከ፟ላል	ይተ፟ከል		ተተክሎ	መተ፟ከል	ተተካይ	be planted	p
ተተኰ፟ሰ	ተተኵ፟ሷል	ይተ፟ኰ፟ስ	ይተ፟ኰ፟ሳል	ይተ፟ኰስ		ተተኵ፟ሶ	መተ፟ኰስ	ተተኳ፟ሽ	be scorched	p
ተተወ	ተትቷል	ይተ፟ው	ይተ፟ዋል	ይተ፟ው		ተትቶ	መተ፟ወት		be left	p
ተቻለ	ተችሏል	ይቻ፟ል	ይቻ፟ላል	ይቻ፟ል		ተችሎ	መቻ፟ል		be possible	i
ተነሣ፟	ተነሥቷል	ይነ፟ሣ፟	ይነ፟ሣ፟ል	ይነ፟ሣ	ተነሣ	ተነሥቶ	መነ፟ሣት	ተነሽ	rise  	i
ተንሻተ፟ተ	ተንሻቷ፟ል	ይንሻተ፟ት	ይንሻተ፟ታል	ይንሻተት	ተንሻተት	ተንሻቶ፟	መንሻተት	ተንሻታች	slide	i
ተንቀሳቀሰ	ተንቀሳቅሷል	ይንቀሳቀስ	ይንቀሳቀሳል	ይንቀሳቀስ	ተንቀሳቀስ	ተንቀሳቅሶ	መንቀሳቀስ	ተንቀሳቃሽ	be moved	p
ተነቀነቀ	ተነቅንቋል	ይነ፟ቀነቅ	ይነ፟ቀነቃል	ይነ፟ቅነቅ	ተነቅነቅ	ተነቅንቆ	መነቅነቅ	ተነቅናቂ	be shaken	p
ተነቃነቀ	ተነቃንቋል	ይነ፟ቃነቅ	ይነ፟ቃነቃል	ይነ፟ቃነቅ		ተነቃንቆ	መነ፟ቃነቅ		be shaken	p
ተንቀጠቀ፟ጠ	ተንቀጥቅጧል	ይንቀጠቀ፟ጥ	ይንቀጠቀ፟ጣል	ይንቀጥቀጥ	ተንቀጥቀጥ	ተንቀጥቅጦ	መንቀጥቀጥ	ተንቀጥቃጭ	tremble	i
ተነካ፟	ተነክቷል	ይነካ፟	ይነካ፟ል	ይነካ		ተነክቶ	መነ፟ካት	ተነኪ	be touched	p
ተነከ፟ረ	ተነክሯል	ይነ፟ከ፟ር	ይነ፟ከ፟ራል	ይነ፟ከር	ተነ፟ከር	ተነክሮ	መነ፟ከር	ተነካሪ	be wetted	p
ተነከ፟ሰ	ተነክሷል	ይነ፟ከ፟ስ	ይነ፟ከ፟ሳል	ይነ፟ከስ		ተነክሶ	መነ፟ከስ	ተነካሽ	be bitten	p
ተና፟ከ፟ሰ	ተናክሷል	ይና፟ከ፟ስ	ይና፟ከ፟ሳል	ይና፟ከስ	ተናከስ	ተናክሶ	መና፟ከስ	ተናካሽ	bite	i
ተንኰሻኰ፟ሸ	ተንኰሻኵሿል	ይንኰሻኰ፟ሽ	ይንኰሻኰ፟ሻል	ይንኰሻኰሽ	ተንኰሻኰሽ	ተንኰሻኵሾ	መንኰሻኰሽ	ተንኰሻኳሽ	rustle	i
ተንከባለ፟ለ	ተንከባሏ፟ል	ይንከባለ፟ል	ይንከባለላ፟ል	ይንከባለል	ተንከባለል	ተንከባሎ፟	መንከባለል	ተንከባላይ	be rolled	p
ተንኳኳ፟	ተንኳኵቷል	ይንኳኳ፟	ይንኳኳል፟	ይንኳኳ		ተንኳኵቶ	መንኳኳት		creak	i
ተናወጠ	ተናውጧል	ይና፟ወጥ	ይና፟ወጣል	ይና፟ወጥ		ተናውጦ	መና፟ወጥ	ተናዋጭ	be disturbed	p
ተነዳ፟	ተነድቷል	ይነ፟ዳ፟	ይነ፟ዳ፟ል	ይነ፟ዳ	ተነዳ	ተነድቶ	መነ፟ዳት	ተነጅ	be driven	p
ተናደ፟ደ	ተናዷል	ተና፟ደድ	ይና፟ደ፟ዳል	ይና፟ደድ	ተናደድ	ተናዶ፟	መና፟ደድ	ተናዳጅ	be annoyed	i
ተነደ፟ፈ	ተነድፏል	ይነ፟ደ፟ፍ	ይነ፟ደ፟ፋል	ይነ፟ደፍ	ተነደፍ	ተነድፎ	መነ፟ደፍ	ተነዳፊ	be stung	i
