#Amharic Name	Latin Transcription	Alternative Amharic Spelling
ሙታንታ	Mutanta	
ሙኒራ	Munira	
ሙኒር	Munir	
ሙአዝ	Mu'äz	
ሙከራ	Mukkära	
ሙካሽ	Mukaš	
ሙካሽ	Mukaš	
ሙክታር	Muktar	
ሙክት	Mukket	
ሙዘይን	Muzäyyen	
ሙዚቀኛ	Muziqäñña	
ሙዚቃ	Muziqa	
ሙዝ	Muz	
ሙያ	Muya	
ሙያተኛ	Muyatäñña	
ሙያተኛች	Muyatäññočč	
ሙያተኞች	Muyatäññočč	
ሙደና	Mudäna	
ሙዳ	Mudda	
ሙዳይ	Muday	
ሙግት	Mugget	
ሙጥሃር	Muṭhar	
ሙጥልቅ	Muṭelleq	
ሙጫ	Muč̣a	
ሙጭጭላ	Muč̣eč̣ella	
ሙፍታህ	Muftah	
ሚልባህ	Milbah	
ሚልኪያስ	Milkiyas	
ሚልክያስ	Milkiyas	
ሚሚ	Mimmi	
ሚራህ	Mirah	
ሚና	Mina	
ሚናስ	Minas	
ሚኤሶ	Mi'ésso	
ሚኪያስ	Mikiyas	
ሚካኤል	Mika'él	
ሚዛን	Mizan	
ሚዜ	Mizé	
ሚያዚያ	Miyaziya	
ሚዳቆ	Mideqo	
ሚጣቅ	Miṭaq	
ሚጥሚጣ	Miṭmiṭṭa	
ማህሌት	Mahelét	
ማህሙድ	Mahemud	
ማህር	Maher	
ማህበረ	Mahebärä-	
ማህበራዊ	Mahebärawi	
ማህበር	Mahebär	
ማህብር	Mahebär	
ማህተመ	Mahetämä-	
ማህተም	Mahetäm	
ማህቶት	Mahetot	
ማህደረ	Mahedärä-	
ማህደሩ	Mahedäru	
ማህደር	Mahedär	
ማህዲ	Mahedi	
ማህጸን	Maheṣän	
ማህጸንተ	Maheṣäntä	
ማህፉድ	Mahefud	
ማለስለሻ	Maläsläša	
ማለደ	Mallädä	
ማለዱ	Mallädu	
ማለዳ	Maläda	
ማለፊያ	Maläfiya	
ማላሽ	Mellaš	
ማላጭ	Melač̣č̣	
ማልመላ	Melmäla	
ማመላለሻ	Mammälaläša	
ማመልከቻ	Mamälkäča	
ማመልካቻ	Mamälkäča	
ማመንጫ	Mamänč̣a	
ማመጫ	Mammäč̣a	
ማሙሸት	Mammušät	
ማሙዬ	Mammuyyé	
ማሚቱ	Mammitu	
ማሚቴ	Mammité	
ማሚቶ	Mammito	
ማማ	Mamma	
ማሜ	Mammé	
ማምረቻ	Mamräča	
ማሞ	Mammo	
ማሞካሸት	Mammokašät	
ማረሚያ	Marrämiya	
ማረሻ	Maräša	
ማረቆ	Maräqo	
ማረፊያ	Maräfiya	
ማሩ	Maru	
ማሪታ	Marita	
ማራገፊያ	Marragäfiya	
ማርልኝ	Marelleññ	
ማርቆስ	Mareqos	
ማርታ	Marta	
ማርከሻ	Markäša	
ማርኪያ	Markiya	
ማርያ	Mareya	
ማርያማዊት	Maryamawit	
ማርያም	Maryam	
ማርዳ	Marda	
ማርገጃ	Margäja	
ማሰልጠኛ	Masälṭäñña	
ማሰማሪያ	Massämariya	
ማሳመን	Masammän	
ማሳተሚያ	Masattämiya	
ማሳደሪያ	Masaddäriya	
ማስመሪያ	Masmäriya	
ማስረሻ	Masräšša	
ማስረጃ	Masräjja	
ማስተላለፊያ	Mastälaläfiya	
ማስተማሪያ	Mastämariya	
ማስተባበሪያ	Mastäbabäriya	
ማስተናገጃ	Mastänagäja	
ማስተዋወቅ	Mastäwawäq	
ማስተዳደሪያ	Mastädadäriya	
ማስተዳደር	Mastädadär	
ማስታወሻ	Mastawäša	
ማስታወቂያ	Mastawäqiya	
ማስጠንቀቂያ	Masṭänqäqiya	
ማስፈር	Masfär	
ማሻሻያ	Maššašaya	
ማሽላ	Mašella	
ማሽንክ	Mašenk	
ማቀዝቀዣ	Maqäzqäz̃a	
ማቅ	Maq	
ማቋቋሚያ	Maqqʷqʷmiya	
ማበጠሪያ	Mabäṭṭäriya	
ማባዘቻ	Mabazäča	
ማብረጃ	Mabräja	
ማብራሪያ	Mabrariya	
ማብሰያ	Mabsäya	
ማተሚያ	Mattämiya	
ማቲ	Mati	
ማትያስ	Mateyas	
ማቶት	Matot	
ማነቆ	Manäqo	
ማናቸውም	Mannaččäwemm	
ማን አህሎህ	MannAheloh	
ማን አህሎሽ	MannAheoš	
ማን አለብሽ	MannÄlläbbeš	
ማን ዘራሽ	MannZärraš	
ማን ያህሉሃል	MannYaheluhal	
ማን ያህሉሻል	MannYaheluhal	
ማን ያህልሃል	MannYahelehal	
ማን ያህልሻል	MannYahelešal	
ማን ያዘዋል	MannYazzäwal	
ማን ደፍሮ	MannDäfro	
ማን ጠግቦሽ	MannṬägboš	
ማንቆርቆሪያ	Manqorqoriya	
ማንኛውም	Manneññawemm	
ማንካ	Manka	
ማንገቻ	Mangäča	
ማንጠልጠያ	Manṭälṭäya	
ማኛ	Mañña	
ማእረገ	Ma'erägä	
ማእረጉ	Ma'eragu	
ማእረግ	Ma'eräg	
ማእርጉ	Ma'erägu	
ማእበል	Ma'ebäl	
ማእከላዊ	Ma'ekälawi	
ማእከላይ	Ma'ekälay	
ማእከል	Ma'ekäl	
ማእዘን	Ma'ezän	
ማእዘንት	Ma'ezänt	
ማእድ	Ma'edd	
ማእድን	Ma'edden	
ማእዶት	Ma'edot	
ማእጠንት	Ma'eṭänt	
ማከናወኛ	Makkänawäñña	
ማከፋፈል	Makkäfafäl	
ማከፋፈያ	Makkäfafäya	
ማኪቦ	Makébo	
ማካበት	Makabät	
ማኬቦ	Makébo	
ማክሰኞ	Maksäñño	
ማክተሚያ	Maktämiya	
ማክዳ	Makedda	
ማዋለድ	Mawwaläd	
ማዘንጊያ	Mazängiya	
ማዘጋጃ	Mazzägaja	
ማዝ	Maz	
ማዞሪያ	Mazoriya	
ማየ ህይወት	Mayä-Heywät	
ማያ ህይወት	Mayä-Heywät	
ማይ ሀባር	MayHäbar	
ማይ በላ	MayBäla	
ማይ ቤላ	MayBété	
ማይ ቤቴ	MayBété	
ማይ ጨሆት	MayČ̣ähot	
ማይ ጨው	MayČ̣äw	
ማይ ጸምሪ	MayṢ̌ämri	
ማይም	Mayyem	
ማደሪያ	Madäriya	
ማደራጃ	Maddäraja	
ማደያ	Maddäya	
ማደጐ	Madägo	ማደጎ
ማዳራጃ	Maddäraja	
ማዳበሪያ	Madabäriya	
ማዳወሪያ	Madawäriya	
ማዴቦ	Madébo	
ማድረቂያ	Madräqiya	
ማድያት	Madyat	
ማድጋ	Madegga	
ማዶ	Mado	
ማጀራት መች	MajeratMäč	
ማጀቴ	Majäté	
ማጀት	Majät	
ማጅራት መች	MajeratMäč	
ማገሩ	Magäru	
ማገገሚያ	Magäggämiya	
ማጋጣ	Magaṭa	
ማግስት	Magest	
ማጠራቀሚያ	Maṭṭäraqämiya	
ማጠቃለያ	Maṭṭäqaläya	
ማጠናቀሪያ	Maṭṭänaqäriya	
ማጠናቀቂያ	Maṭṭänaqäqiya	
ማጠናከሪያ	Maṭṭänakäriya	
ማጠንከሪያ	Maṭṭänakäriya	
ማጠንጠኛ	Maṭänṭäñña	
ማጣሪያ	Maṭṭariya	
ማጣፈጫ	Maṭafäč̣a	
ማጥ	Maṭ	
ማጫ	Méč̣č̣a	
ማጭድ	Mač̣ed	
ማፈሪያ	Mafäriya	
ማፈንገጥ	Mafängäṭ	
ማፈኛ	Maffäñña	
ሜሎ	Mélo	
ሜሮን	Méron	
ሜታ	Métta	
ሜንዳ	Ménda	
ሜንጦ	Ménṭo	
ሜኖ	Ménno	
ሜዞ	Mézzo	
ሜዳ	Méda	
ሜጫ	Méčča	
ምሁራን	Mehuran	
ምሁር	Mehur	
ምህላ	Mehella	
ምህረተ አብ	Mehrätä-Äb	
ምህረቱ	Mehrätu	
ምህረቴ	Mehräté	
ምህረት	Mehrät	
ምህዋር	Mehwar	
ምህጻረ ቃል	Meheṣarä-qal	
ምላሰኛ	Melasäñña	
ምላስ	Melas	
ምላሽ	Mellaš	
ምላጭ	Melač̣č̣	
ምልመላ	Melmäla	
ምልምል	Melmel	
ምልአተ	Mel'ätä-	ምልዓተ
ምልጣን	Melṭan	
ምረቃ	Merräqa	
ምሩጽ	Meruṣ	
ምራቅ	Meraq	
ምራት	Merat	
ምራጭ	Merrač̣	
ምርት	Mert	
ምርኮኛ	Merkoñña	
ምርጊት	Mergitt	
ምርጫ	Merč̣a	
ምርፋቅ	Merfaq	
ምሰሶ	Mesässo	
ምሳሌ	Messalé	
ምሳር	Messar	
ምስለኔ	Mesläné	
ምስል	Mesel	
ምስማር	Mesmar	
ምስማክ	Mesmak	
ምስራቃውያን	Mesraqaweyan	
ምስራቅ	Mesraq	
ምስራች	Messeračč	
ምስርች	Messerečč	
ምስቅልቅል	Mesqelqel	
ምስኪን	Meskin	
ምስክረ	Mesekkerä-	
ምስክር	Mesekker	
ምስጉን	Mesgun	
ምስጋኑት	Mesganut	
ምስጋናው	Mesganaw	
ምስግና	Mesgenna	
ምስጢራዊ	Mesṭirawi	
ምስጢር	Mesṭir	
ምስጥ	Mesṭ	
ምሽግ	Meššeg	
ምቧይ	Embʷy	
ምትሀት	Methät	
ምትኩ	Metekku	
ምትካቸው	Metekkaččäw	
ምትኬ	Metekké	
ምቹ	Mečču	
ምች	Mečč	
ምኒልክ	Menilek	
ምናምን	Menamen	
ምናሰር	Menasär	
ምናሴ	Menasé	
ምናብ	Menab	
ምን ተስኖት	MenTäsenot	
ምን ትዋብ	MenTewwab	
ምን አለ	MenÄlä	
ምን ውየለት	MenWeyyällät	
ምንሽር	Meneššer	
ምንቅርቅር	Menqerqer	
ምንባብ	Menbab	
ምንትራስ	Menteras	
ምንቸት	Menčät	
ምንችሌ	Menčellé	
ምንዛሬ	Menezzaré	
ምንዝር	Menzer	
ምንደኛ	Mendäñña	
ምንዳ	Menda	
ምንዳዬ	Mendayé	
ምንጃር	Menjar	
ምንጅላት	Menjellat	
ምንጠራ	Menṭära	
ምንጭ	Menč̣	
ምኞታዊ	Meññotawi	
ምኞት	Meññot	
ምእመናን	Me'emänan	
ምእራባውያን	Me'erabaweyan	
ምእራብ	Me'erab	
ምእራፍ	Me'eraf	
ምእት	Me'et	
ምእዳን	Me'edan	
ምኩራብ	Mekurab	
ምክረ	Mekrä	
ምክሩ	Mekru	
ምክር	Meker	
ምዝበራ	Mezbära	
ምዝብር	Mezber	
ምደባ	Meddäba	
ምድረ በዳ	Medrä-Bäda	
ምድር	Meder	
ምድጃ	Medejja	
ምጃ	Moja	
ምግብ	Megeb	
ምጣኔ	Meṭṭané	
ምጥማጥ	Meṭmaṭ	
ምጥበሻ	Mäṭbäša	
ምጥን	Meṭṭen	
ምጽላል	Meṣlal	
ምጽዋ	Meṣewwa	
ምጽዋት	Meṣwat	
ሞላ	Molla	
ሞላሌ	Molalé	
ሞላልኝ	Mollalleñ	
ሞረቴ	Moräté	
ሞረድ	Moräd	
ሞራ	Mora	
ሞሲሳ	Mosissa	
ሞተራ	Motära	
ሞት	Mot	
ሞት ባይኖር	MotBaynor	
ሞንዳላ	Mondalla	
ሞካ	Mokka	
ሞክሼ	Mokšé	
ሞጃ	Moja	
ሞጆ	Mojo	
ሞገሳ	Mogäsa	
ሞገስ	Mogäs	
ሞገደኛ	Mogädäñña	
ሞገድ	Mogäd	
ሞግሼ	Mogšé	
ሞግዚት	Mogzit	
ሞጣ	Moṭa	
ሞጣህት	Moṭaht	
ሞፈር	Mofär	
ሞፎ	Mofo	
ሟርተኛ	Mʷrtäñña	
ሟች	Mʷč	
ረሃብ	Rähab	
ረመጥ	Rämäṭ	
ረሺድ	Räšid	
ረቀታ	Räqäta	
ረቂቁ	Räqiqu	
ረቂቅ	Räqiq	
ረቡእ	Räbu'e	
ረቢ	Räbbi	
ረባዳ	Räbbadda	
ረታ	Rätta	
ረኮ	Räko	
ረኸጥ	Räk̃äṭ	
ረዘነ	Räzzänä	
ረዲ	Räddi	
ረዳ	Räda	
ረዳት	Räddat	
ረዳእ	Räda'e	
ረዴ	Räddé	
ረድ	Räd	
ረድማን	Rädman	
ረድኤቱ	Räde'étu	
ረድኤት	Räde'ét	
ረድፍ	Rädf	
ረጀቦ	Räjät	
ረጀት	Räjät	
ረጃ	Räja	
ረጅ	Räd	
ረጅም	Räjjem	
ረገዱ	Räggädu	
ረገድ	Räggäd	
ረጋሳ	Räggasa	
ረጋሽ	Aräggaš	
ረፋድ	Räffad	
ሩር	Rur	
ሩት	Rut	
ሩካቤ	Rukabé	
ሩጋ	Ruga	
ሩፋኤል	Rufa'él	
ሪህ	Rih	
ሪቅ	Riq	
ሪዝ	Riz	
ሪጋ	Riga	
ራሄል	Rahél	
ራህመቶ	Rahmäto	
ራሜት	Ramét	
ራም	Ram	
ራስ	Ras	
ራስ ቁር	RasQurr	
ራስጌ	Ras-Gé	
ራቢያ	Rabiya	
ራብእ	Rabe'e	
ራእይ	Ra'ey	
ራዘነ	Räzzänä	
ራጉ	Rago	
ራጉኤል	Ragu'él	
ራጐ	Rago	
ራፋኤል	Rafa'él	
ሬሳ	Résa	
ርሚጦ	Remmiṭo	
ርስ ቁር	Rasqurr	
ርስት	Rest	
ርቄ	Reqqé	
ርቢ	Rebbi	
ርብራብ	Rebrab	
ርብቃ	Rebqa	
ርብእ	Rabe'e	
ርቱእ	Retu'e	
ርችት	Reččet	
ርእስ	Re'es	
ርእሶም	Re'esom	
ርእዮተ ኣለም	Re'eyotä-Aläm	
ርእዮት	Re'eyot	
ርካሽ	Rekkaš	
ርዝመት	Rezmät	
ርዝራዥ	Rezerraz̃	
ሮሀ	Rohä	
ሮበሌ	Robälé	
ሮቢ	Robi	
ሮቢት	Robit	
ሮባ	Roba	
ሮቤ	Robé	
ሮብ	Rob	
ሰለሄ መለሄ	SälähéMälähé	
ሰለባ	Säläba	
ሰለክላካ	Säläklakka	
ሰለጠነ	Säläṭṭänä	
ሰሊሆም	Sälihom	
ሰላመ	Sälamä-	
ሰላሙ	Sälamu	
ሰላማ	Sälama	
ሰላማዊ	Sälamawi	
ሰላማዊት	Sälamawit	
ሰላም	Sälam	
ሰላሱት	Sälasut	
ሰላሳ	Sälasa	
ሰላቢ	Sälabi	
ሰላይ	Sällay	
ሰላጣ	Sälaṭa	
ሰላጤ	Sällaṭṭé	
ሰሌን	Sälén	
ሰሌዳ	Säléda	
ሰልማን	Sälman	
ሰልፈኛ	Sälfäñña	
ሰልፍ	Sälf	
ሰሎሜ	Sälomé	
ሰሎሞን	Sälomon	
ሰመመን	Sämämän	
ሰመረ	Sämärä	
ሰመተር	Sämätär	
ሰሙ	Sämmu	
ሰሚ	Sämi	
ሰማ	Sämma	
ሰማኒያ	Sämaniya	
ሰማን	Sämman	
ሰማእታት	Säma'etat	
ሰማእትነት	Säma'etennät	
ሰማያት	Sämayat	
ሰማያዊ	Sämayawi	
ሰማይ	Sämay	
ሰማይ ነሽ	SämayNäš	
ሰሜ ነህ	SeméNäh	
ሰሜናዊ	Säménawi	
ሰሜን	Sämén	
ሰም	Säm	
ሰምና ወርቅ	Sämenna-Wärq	
ሰሞነኛ	Sämonäñña	
ሰሞን	Sämon	
ሰረሰር	Säräsär	
ሰረቀ	Säräqä	
ሰረገላ	Särägälla	
ሰሪ	Säri	
ሰራተኛ	Särratäñña	
ሰራተኛች	Särratäññočč	
ሰራተኞት	Särratäññočč	
ሰራዊት	Särawit	
ሰርቦ	Särbo	
ሰርቶ በላ	Särto-Bälla	
ሰርኔሳ	Särnéssa	
ሰርክ	Särk	
ሰርዱ	Särdu	
ሰርዶ	Särdo	
ሰርገኛ	Särgäñña	
ሰርጸ	Särṣä-	
ሰርጹ	Särṣu	
ሰሳ	Säsa	
ሰቀላ	Säqäla	
ሰቃ	Säqa	
ሰቅ	Säqq	
ሰቆጣ	Säqoṭa	
ሰቋር	Säqqʷr	
ሰበ ነክ	SäbäNäk	
ሰበታ	Säbbäta	
ሰበከት	Säbäkät	
ሰበዝ	Säbäz	
ሰባ	Säba	
ሰባራ	Säbara	
ሰባተኛ	Säbattäñña	
ሰባት	Säbatt	
ሰባኪ	Säbaki	
ሰብለ	Säblä	
ሰብሉ	Säblu	
ሰብል	Säbel	
ሰብሳቢ	Säbsabi	
ሰብስቤ	Säbsebé	
ሰብአ ሰገል	Säb'äSägäl	
ሰብአ ስገል	Säb'äSägäl	
ሰብአዊ	Säb'äwi	
ሰብአዊነት	Säb'äwinnät	
ሰታቴ	Sätaté	
ሰነድ	Sänäd	
ሰናይ	Sännay	
ሰናይት	Sännayet	
ሰናድር	Sänader	
ሰናፊል	Sänafil	
ሰናፍጭ	Sänafeč̣č̣	
ሰኔ	Säné	
ሰንሰለት	Sänsälät	
ሰንሰል	Sänsäl	
ሰንበሌጥ	Sänbäléṭ	
ሰንበር	Sänbär	
ሰንበቱ	Sänbätu	
ሰንበታ	Sänbäta	
ሰንበቴ	Sänbäté	
ሰንበት	Sänbät	
ሰንበቶ	Sänbäto	
ሰንአፈ	Sän'äfä	
ሰንኮፍ	Sänkof	
ሰንደል	Sändäl	
ሰንደቅ	Sändäq	
ሰንዳፋ	Sändaffa	
ሰንጋ	Sänga	
ሰንጠረጅ	Sänṭäräj	
ሰንጢ	Sänṭi	
ሰኞ	Säñño	
ሰአት	Sä'at	
ሰኣታት	Sä'atat	
ሰኣት	Sä'at	
ሰኮሩ	Säkoru	
ሰኮና	Säkona	
ሰዋሰው	Säwasew	
ሰው	Säw	
ሰው በላ	SäwBälle	
ሰውነት	Säwennät	
ሰያፍ	Säyyaf	
ሰይድ	Säyed	
ሰይጣን	Säyṭan	
ሰይፈ	Säyfä-	
ሰይፈ አርእድ	Säyfä-Äre'ed	
ሰይፈ እርእድ	Säyfä-Äre'ed	
ሰይፉ	Säyfu	
ሰይፉዲን	Säyfudin	
ሰይፍ	Säyf	
ሰዮ	Säyyo	
ሰደሪያ	Sädäreyya	
ሰደርያ	Sädärayya	
ሰደቃ	Sädäqa	
ሰደቻ	Säddäčča	
ሰደድ	Sädäd	
ሰደፍ	Sädäf	
ሰዲ	Sädi	
ሰዶም	Sädom	
ሰገራ	Sägära	
ሰገባ	Sägäba	
ሰገነት	Sägännät	
ሰገነይቲ	Sägänäyti	
ሰገን	Sägän	
ሰገድ	Säggäd	
ሰጐን	Sägon	
ሰጠኝ	Säṭṭäññ	
ሰፈራ	Säfära	
ሰፈር	Säfär	
ሰፈፍ	Säfäf	
ሰፈፍ የለሽ	SäfäfYälläš	
ሰፊ	Säffi	
ሰፊው	Säffiw	
ሰፋሰፋ	Säfsaffa	
ሰፌድ	Säféd	
ሰፍሳፋ	Säfsaffa	
ሰፍነግ	Säfnäg	
ሱለሂማን	Sulähiman	
ሱልጣን	Sultan	
ሱረት	Surrät	
ሱሪ	Surri	
ሱራፌል	Surafél	
ሱስንዮስ	Suseneyos	
ሱቅ	Suq	
ሱቢህ	Subih	
ሱባኤ	Suba'é	
ሱቲ	Suti	
ሱፋጭ	Sufač̣	
ሱፍያን	Sufeyan	
ሲሚሎ	Similo	
ሲሚንቶ	Siminto	
ሲራክ	Sirak	
ሲራጅ	Siraj	
ሲርሃን	Sirhan	
ሲሳይ	Sisay	
ሲሶ	Siso	
ሲቃላ	Siqala	
ሲባጐ	Sibago	
ሲኖዶስ	Sinodos	
ሲኦል	Si'ol	
ሲዳ	Sida	
ሲዳማ	Sidama	
ሲዳሞ	Sidamo	
ሲጃራ	Sijara	
ሳህለ	Sahelä-	
ሳህሉ	Sahelu	
ሳህሊቱ	Sahelitu	
ሳህሌ	Sahelé	
ሳሆ	Saho	
ሳለ አይሰጥ	Sallä-Äysäṭ	
ሳለህ	Saläh	
ሳሊ	Sali	
ሳሊህ	Salih	
ሳሊም	Salim	
ሳላ	Sala	
ሳሌህ	Saleh	
ሳልህ	Saleh	
ሳልስ	Sales	
ሳሙና	Samuna	
ሳሙኤል	Samu'él	
ሳሚ	Sämi	
ሳማ	Samma	
ሳምራዊ	Samrawi	
ሳምሶን	Samson	
ሳምባ	Samba	
ሳምንታዊ	Sammentawi	
ሳምንት	Samment	
ሳሪስ	Saris	
ሳራ	Sara	
ሳሳሁልሽ	Sassahulleš	
ሳቡሬ	Saburé	
ሳቢ	Sabi	
ሳቢሳ	Sabisa	
ሳቢያ	Sabbiya	
ሳቢያን	Sabiyan	
ሳባ	Saba	
ሳብእ	Sabe'e	
ሳኒ	Sani	
ሳንቃ	Sanqa	
ሳንባ	Sanba	
ሳንቲም	Santim	
ሳንዱቅ	Sanduq	
ሳንጃ	Sanja	
ሳኣል	Sa'ol	
ሳይዳ	Sayda	
ሳዱላ	Sadulla	
ሳድስ	Sades	
ሳድያ	Sadeyya	
ሳጠራ	Saṭara	
ሳጥናኤል	Saṭna'él	
ሴም	Sém	
ሴረኛ	Séräñña	
ሴራ	Séra	
ሴሰኛ	Sésäñña	
ሴሰኛነት	Sésäññannät	
ሴቴ	Sété	
ሴት	Sét	
ሴት አውል	SétÄwel	
ሴትነት	Sétennät	
ሴትኛ አዳሪ	Séteñña Ädari	
ስሁል	Sehul	
ስሂን	Sehin	
ስህተት	Sehtät	
ስለሺ	Seläši	
ስለሽ	Seläši	
ስለት	Selät	
ስሉስ	Sellus	
ስላስ	Sellas	
ስልስ	Selles	
ስልቅ	Selleq	
ስልባቦት	Selbabot	
ስልብ	Selb	
ስልተ	Seltä-	
ስልቻ	Sellečča	
ስልክ	Selk	
ስልጣን	Selṭan	
ስመኝ	Semmäññ	
ስመኝሽ	Semmäññeš	
ስሙኒ	Semuni	
ስሚንቶ	Semminto	
ስማዳ	Semada	
ስሜ	Semé	
ስሜ ነህ	SeméNäh	
ስሜ ነሽ	SeméNäš	
ስሜት	Semmét	
ስም	Säm	
ስምምነት	Sememmennät	
ስምረት	Semrät	
ስምሪት	Semerrit	
ስምንተኛ	Semmentäñña	
ስምንት	Semment	
ስምኦን	Sem'on	
ስምዛ	Semezza	
ስሪት	Serrit	
ስራ	Sera	
ስራ አስኪያጅ	SeraÄskiyaj	
ስራ አጥ	Sera Äṭṭ	
ስር	Ser	
ስር ነቀል	SerNäqqäl	
ስርቅታ	Serreqta	
ስርቆሽ	Serqoš	
ስርቻ	Serečča	
ስርኣተ	Ser'atä-	
ስርኣተ አልባነት	Ser'atä-Älbannät	
ስርወ	Serwä-	
ስርየት	Seryät	
ስርገው	Sergew	
ስርጉት	Sergut	
ስርግው	Sergew	
ስቃይ	Seqay	
ስቅለት	Seqlät	
ስብሀቱ	Sebhätu	
ስብሀት	Sebhät	
ስብሀትለ አብ	SebhätLä-Äb	
ስብራት	Sebberat	
ስብሰባ	Sebsäba	
ስብስቴ	Sebesté	
ስብስቴያኖስ	Sebestéyanos	
ስነ	Senä-	
ስኒ	Seni	
ስና	Sena	
ስናር	Sennar	
ስናፍቅሽ	Senaffeqeš	
ስኔ	Seni	
ስንቄ	Senqé	
ስንቅ ነህ	SenqNäh	
ስንቅ ነሽ	SenqNäš	
ስንቡል	Senbul	
ስንብል	Senbul	
ስንት አየሁ	SentÄyyähu	
ስንኩል	Senkul	
ስንደዶ	Sendädo	
ስንዱ	Seneddu	
ስንድድ	Sended	
ስንጥር	Senṭer	
ስንጥቅ	Senṭeq	
ስእለ	Se'el	
ስእላዊ	Se'elawi	
ስእል	Se'el	
ስኳር	Sekʷr	
ስውር	Sewwer	
ስዩም	Seyyum	
ስደተኛ	Seddätäñña	
ስደተኞች	Seddätäññočč	
ስደት	Seddät	
ስድሳ	Sedsa	
ስድስተኛ	Seddestäñña	
ስድስት	Seddest	
ስድስቶ	Seddesto	
ስጋ	Sega	
ስጋ ሜዳ	Sega Méda	
ስጋ ወደሙ	Sega Wädämu	
ስጋዊ	Segawi	
ስጋጃ	Segajja	
ስግብግብ	Segebgeb	
ስጦታው	Seṭotaw	
ስፌት	Sefét	
ሶሎግ	Solog	
ሶምሶማ	Somsoma	
ሶራ	Sora	
ሶስተኛ	Sostäñña	
ሶስት	Sost	
ሶስና	Sosenna	
ሶታ	Sota	
ሶደሬ	Sodäré	
ሶዶ	Soddo	
ሶፊያ	Sofiya	
ሸህ	Šäh	
ሸሆና	Šähona	
ሸለመው	Šällämäw	
ሸለማይ	Šälämay	
ሸለሸል	Šäläšäl	
ሸለቆ	Šäläqo	
ሸመገለ	Šemagellä	
ሸሚዝ	Šämiz	
ሸማ	Šämma	
ሸማኔ	Šämmané	
ሸማገለ	Šemagellä	
ሸምሱ	Šämsu	
ሸምሲ	Šämsi	
ሸምቃቃ	Šemqaq	
ሸምበቆ	Šämbäqqo	
ሸረሪት	Šärärit	
ሸረኛ	Šärräñña	
ሸሩባ	Šurrubba	
ሸሪፍ	Šärif	
ሸራ	Šära	
ሸርሙጣ	Šärmuṭa	
ሸቀጣ ሸቀጥ	Šäqäṭa-Šäqäṭ	
ሸቀጥ	Šäqäṭ	
ሸቃጭ	Šäqqač̣	
ሸበሌ	Šäbälé	
ሸበል	Šäbäl	
ሸቤ	Šäbé	
ሸንቁጤ	Šänquṭé	
ሸንቁጥ	Šänquṭ	
ሸንቂጤ	Šänquṭé	
ሸንተረር	Šäntärär	
ሸንኮሩ	Šänkoru	
ሸንኮሬ	Šänkoré	
ሸንኮር	Šänkor	
ሸንጐ	Šängo	ሸንጎ
ሸንጐበት	Šängobät	ሸንጎበት
ሸንፈተኛ	Šänfätäñña	
ሸኖ	Šäno	
ሸክላ	Šäkla	
ሸዊት	Šäwwit	
ሸዋ	Šäwa	
ሸዋ ረገድ	ŠäwaRäggäd	
ሸዋ ርካብሽ	ŠäwaRkabeš	
ሸዋ ፈራ	ŠäwaFärra	
ሸዋን ግዛው	Šäwan-Gezaw	
ሸዋዬ	Šäwayyé	
ሸዌ	Šäwé	
ሸው ፈራ	ŠäwaFärra	
ሸውራራ	Šäwrarra	
ሸፋፋ	Šäfafa	
ሹሉዳ	Šuluda	
ሹልክታ	Šullekta	
ሹልዳ	Šuleda	
ሹማምንት	Šumament	
ሹሜ	Šumé	
ሹም	Šum	
ሹምዬ	Šumeyyé	
ሹሩባ	Šurrubba	
ሹራብ	Šurrab	
ሹርቤ	Šurrebbé	
ሹካ	Šukka	
ሺህ	Ših	
ሺመልስ	Ši-Mälles	
ሺምልጃሽ	Ši-Meljaš	
ሺሬ	Širé	
ሺበሺ	Šibäši	
ሺበት	Šibät	
ሺብሬ	Ši-Berré	
ሺታ	Šitta	
ሺታዬ	Šittayé	
ሺቶ	Šitto	
ሺፋው	Šifaw	
ሻህላ	Šähla	
ሻለቃ	Šaläqa	
ሻላ	Šala	
ሻሚል	Šamil	
ሻማ	Šama	
ሻሜ	Šammé	
ሻሜል	Šamil	
ሻምላ	Šamla	
ሻምበል	Šambäl	
ሻምቡ	Šambu	
ሻረው	Šaräw	
ሻሸ	Šaš	
ሻሸመኔ	Šašämänné	
ሻሼ	Šašé	
ሻሽ	Šaš	
ሻሾ	Šašo	
ሻንቅላ	Šanqella	
ሻንቆ	Šanqo	
ሻንጣ	Šanṭa	
ሻኛ	Šañña	
ሻውል	Šawel	
ሻይ	Šay	
ሻጉራ	Šagura	
ሻግያ	Šageyya	
ሻፊ	Šafi	
ሼባ	Šéba	
ሼቻ	Šéčča	
ሽለላ	Šelläla	
ሽል	Šel	
ሽልማት	Šellemat	
ሽልቀቃ	Šelqäqa	
ሽልጦ	Šelleṭo	
ሽመል	Šemäl	
ሽማግሌ	Šemagellé	
ሽምቃቅ	Šemqaq	
ሽምቅ	Šemmeq	
ሽምብራ	Šembera	
ሽምጥ	Šemeṭṭ	
ሽረት	Šerät	
ሽርሽር	Šerrešerr	
ሽርጥ	Šerreṭ	
ሽሮ	Šero	
ሽሽት	Šeššet	
ሽሽግ	Šeššeg	
ሽቅብ	Šeqqeb	
ሽባ	Šeba	
ሽባባው	Šebabbaw	
