# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
camera	golà	ገልማ	eulfegn	እልፍኝ	eundà		chambre	dâr, oda - udha
camerata	miciù, èria	ሚቹ	balengerà	ባልንጀራ	fetawi		camarade, ami	sâheb, sadîk - sâhhib
cameriere	dagicà, gàrba		asallafì	አሳልፊ	asallafì	አሳላፊ	garçon	khadîm, sufragî - haddêm
camicia	camis		qamis, qemmis	ቀሚስ	qamis	ቀሚስ	chemise	gamîs, qamîs - gmissä
camino	araciccià		qonqor	ምድጃ	qonqor		cheminée	dakhûn - mâdakna
cammelliere	namagàla		ghemalegnà		ghemaluy		chamelier	giammâl, gammâl - zämmêl
cammello	gala	ጋላ	gamal	ግመል	gamel	ግመል	chameau	giamal, ebel, gqamal - zmel
camminare	edèmu	አዴማ	hayag, hedè	ሂያጅ፣ ሂድ	chedè		marcher	mesci, sar, mascia, misi - msä
campagna	gàfo		barha	ባህር	berkhà		campagne	mazraâ, haghl, emta, kâla - ard
campana	bilbilla		marauat		dewel		cloche	giaras, garas - zizil
campanile	igerra bilbilla		ghimb	ግብር	eundà - dewel		clocher	burz garas, cobbet gâras
camposanto	awalà	አዋለ	mecaber	መቃብር	meqhebèr	መቃብር	cimetière	madfan, macbara - zebbênä
canaglia	vàta		kufu, wendebiè	ክፉ	hesùm		canaille	razel, ubâsc, môgrem
candela	dungù		tuaf	ጧፍ (መብራት)	mebrahtì	መብራቲ	chandelle, bougie	sciamâa - sämha
cane	sarè	ሰሬ	wauscià	ውሻ	chelbì	ከልቢ	chien 	kelb, chelb - kälb, slûgi
canna	kawa		meqqà	መቃብር	meqqà		canne	mâsûra, câssaba - hasât
cannibale	hulgù		belsegà, ceràqq	ባለፀጋ	belà esèb		cannibale	gûl - gettêl
cannone	afan affela		medaf	መዳፍ	medefe	መደፊ	canon	madfâh, madafâ - mêdfah
cantina	bollò		tagg-biet	ጠጅ-ቤት	kuommart biet		cave	khammâra - mhâze
cantore	nama sirbi		zefegn	ዘፋኝ	halagù		chanteur	mogânna - hännêi
canzone	wedu	ዌዲ	zafan	ዘፈን	mahlièt		chanson	oghuyâ, gannîa, mauwâl - hannâwä
capace	kan dendàu		beleuh	ትልቅ	kaàly		capable	ahel, câbel, câfu - stämlek
capanna	godò	ጎዶ	guoggiò	ጎጆ	agudò		cabane	khûss, zerîbe - hhôs
capello	debbesà		ttegùr	ጠጉር	tsegurì	ፀጉሪ	cheveu	sceêra, xâr - sbîb
capire	galu		semmà	መረዳት/መገንዘብ	semè	ስመ	comprendre	fihim, âalam - fhêm
capitano	dumi		alecà	አለቃ	bascià		capitaine	yûz bâsâ, cobtân el âscar - iuzbäsi
capo avanguardia	dumi, fuldurà		fitauràri	ፊታውራሪ	fitauràri	ፊታውራሪ	chef d'avant-garde	zabîth basdâr - rais sélf
capo, sceicco	dumi		ras, sciùm	ራስ/ሹም	scheik, sciùm		cheik, chef	maamûr, raîs, zabîth - sêk, rais
capo, testa	matà	መታ	ras 	ራስ	reesy	ርአሲ	tête	ras - râs
caporale	woràna lolu	ወራና ሎሌ	sciumet uettader	ሹመት	muntaz		caporal	ônbâsâ, om basci
cappello	cobi	ቆቢ	barniettà	ባርኔጣ	bernettà	በርናጣ	chapeau	burnêta, bernêta - burtêlä
cappotto	warò	ዋይ	barnos	ባርኖስ	bernò	በርኖ	capote	âabâia - barnûs
capra	rèti	ረኤ	feyal, feyèl	ፍየል	ttièl		chèvre	mihze, meêza - hanz, hanez
capretto	corbèccia	ኮረቦች	tennisc feyal	ትንሽ ፍየል	neuaid		chevreau	gidy, ebn meêza - uûl el-banez
carabina	caùve farda		scegùtt	ሽጉጥ	tevèngia	ጠመጂ	carabine	bondochia gasir - seshhân
carabiniere	nama cauve		zaptiè		zaptiè		carabinier	garabiniäri
carattere	amalà		bahrey	ባሕርይ	fidel		caractère	tabê, thâbaâ
carbonaio	cedattu cilati		kesselscàtc	ከሰል ሺያጭ	hemmety		charbonnier	fahhâm
carbone	cilati	ጨሱት	kessel, emmèt	ከሰል /	hemmèt		charbon 	faham, fahm - biâd, fhâm
carcere	ghindò		ghezòt-biet	ግዞት-ቤት	habsì		prison	habas, saghn - zendênä
carceriere	egdùghindò		euser-tebaki	እስር ጠባቂ	ashebsy		geôlier	nâzer el habs, saggiân
carestia	bèla		qetenna, rab	ቀጠና	ttemièt		disette	qaht, gedeb - zûöh, sarr
carico	feìsa		seekhèm	ሸክም	sciekhmf		charge	hama, hhiml - habê
carità	garoma		feqqer	ፍቅር	feqqrì	ፍቅሪ	charité	zacât, ehsan - zähât, sadga
carne	fon	ፎን	segà	ሰጋ	segà	ስጋ	chair, viande	laham, lahhin - lhham
caro, costoso	gattì giabà		wudd, kebeur	ውድ፣ ጅቡር	wekhenì		cher	rhali ketir, gâli - hâli
carovana	giàma		guàz	ጓዝ	qqeflèt		caravane	cafila,, gêflä - gefela
carro	fuciù		menqueracùr	መንኮራኩር	menquerquer		char	ârabia, karrô - karatûn
carrozza	fuciù nàma		sereghellà	ሰረገላ	sereghellà		voiture	ârabia, mârcaba, arabîye - karrûsa
carta	warakàta		uarakat	ወረቀት	uereqhet		papier	uâraga, waraq - kâhed, kâhet
cartuccia	rukaka		tteyt, tit	ጥይት	tteyyt		cartouche	fâscka, fesêka - fusêk
casa	màna		biet	ቤት	bièt 	ቤት	maison	bêt, dar, cayen - hôs, bêt
cascata	tincàwa		fuafuatiè	ፏፏቴ	maigogà		cascade	sallâl
casco	gonfò lolati		burnus	በርኖስ	burnus		casque	bernêta, baydâ
caserma	mana noomoti		ia wattarder biet	የወታደር ቤት	wettader biet	ወታደር ቤት	caserne	gasca, quslâq - gysla
cassa	sateni, biderù		satten	ሳጥን	satsùn	ሳጥን	caisse	sandûk - sandûg
castrato	cerbèssa		sanga	ሰንጋ	mekùt		châtré	tauâsci - kabs
catena	sibilla		sansalet	ሰንሰለት	senselèt	ሰንሰለት	chaîne	selsêla - selsle
catino, secchio	totò		ghebetà	ገበጣ	desty		bassin, baquet	maâgian, tîst - mahbis
cattivo	aggià		chefù, kufu	ክፉ	kefùa	ክፉ	mauvais	battâl, radi, khabît - sên
catturare	dorvù		yazè	ያዘ	hazè	ሃዝ	capturer	gianzer, kettef, hâbas
cava	bollò		gudguad	ጉድጓድ	gudguàd	ጎድጓዲ	mine, carrière	hofra, magâra - mahden, mîna
cavalcatura	corù		mesrerya	መስሪያ	seurary		monture	rocûba - särz, bardha
cavalleria	abbafarda	አባፈርዳ	feresegnà	ፈረሰኛ	fereseyna	ፈረሰኛ	cavalerie	khaiâla, saûari - sbîb
cavallo	farda	ፈረደ	ferès	ፈረስ	ferès	ፈርሲ	cheval	hossân, khel, farass - hsân
caverna	holkà		wascià		beattì		caverne	magâra - muhhâra
cavezza	fulò		lebab		leccò		licou	zemân - lzäm, srymä
cavoli	gomèn	ጎመን	gommen	ጎመን	gommàn	ጎመን	choux	coronbin, kurûnba
ceci	scimbirà	ሸምበራ	ater, scemberà	አተር፣ ሽምብራ	atèr	አተር	pois chiches	hhummus, homosin - kroms
cena	irbàta	ኢርባታ	rat, euràt	ራት፣ እራት	derar	ድራር	soupé	hasâ, âscia, âaxa - hasä
cenere	dàra	ደራ	amèd	አመድ	hamukhuisti	ሃምክሺ	cendre	româd, qusremill - rmâd
cento	dibbà	ዲባ	mia, metò		meetì	ምይቱ	cent	mîa, mîe - mîjä, mîe
cercare	barbaciù	በርባቹ	falleghè		debyè		chercher	dauar - douwur, ttalâh
cervello	semù	ሰሙ	angol	አንጎል	nalà	ናላ	cerveau	mokh, dimâg - dmâh
cesto	kortì		mudài, warautà	ሙዳይ፣ ወራቡታ	mesòb		panier	zanbîl, sabat - zembîl, guffa
che cosa?	malhùmi?	ማል	men?	ምን	mentay?	ምንታይ	qu'est-ce que?	êh?, deh-dâ?, deh-dî?, âs?, äs?
chi?	ègnu?	ኤች	man?	ማን	men?	መን	qui?	man? min? - askûn?, äskûn?
chiacchierare	asau	አሳሱ	lefellefè	ለፍልፍ	uelttefè		causer	lat, raggay, hadath - duâ, dwêt
chiamare	wàmu	ዋሙ	tterrà, ttari	ጠራ፣ ጠሪ	tsewè		appeler	nâda, daâ, nadahli - näd
chiamata militare	dib 		chitèt	ሸተተ	tsewà		rappel militaire	haskarîya - gurha haskarîya
chiave 	bantù	በንቱ	mekfecià	መክፈቻ	mekhefecià	መክፈቺ	clef	meftâh,, mfetîeh
chi è?	egnu gira?		man-new?	ማነው	menallò?	መንአሎ	qui est-il?	(m.) askûn-hu?, min-hu? (f.) askûn-hi?
chiesa	bieta kristian	ቤታ ክስተና	biete crestiàn	ቤተ ክርስቲያን	biet crestiàn	ቤተክርስቲያን	église	chenîssa, canîsa - knîsä
chinino	coriccia busa	ቆርቻ	kinino	ኮኒን	kinino	ኪኒየ	quinine	âalâghomma - duä hhemmä
chiudere	ciùfu	ጩፋ	zeggà	ዘጋ	atsewè	ሃሳዊ	fermer	cafal, sâkkar
chi va là?	giabà?		man new?	ማን ነው	men allò?	መን አሎ	qui est-ce?	askûnä, äskûn?
cieco	giamà	ጅማ	auer	አውሬ	ewùr	እውሬ	aveugle 	ahamâ, aâmia - ahma
cielo	samài	ሰሚ	samai	ሰማ	samai	ሰማ	ciel	sama - smä
ciglio 	fulgurà		scefascift	ሽፋሽፍት	dendès		cil	gefn, hhajib
cima, vetta	gubbè	ጉባ	cciàf, tarriè	ጫፍ፣ ጣራ	cciàf		sommet	aurwâ tellat - hêlwa
cimice	tokàna		tehuàn	ትኋን	teqhuàn	ትክዋን	punaise	baqqa, bâgga
cimitero	awàla	አዋላ	mecabèr	መቃብር	meqhebèr	መቃብር	cimetière	makbara, madfan, turba - zebbêue
cinghia	tùba		moran	ሞራ	maettègh		sangle, courroie	hezam - sêr
cinghiale	erià		erià, errià	እርያ	meflès		sanglier	khanzir, khanzir uehsci
cir quanta	sciantam	ሸንተቢ	hamsa	ሃምሳ	hamsà		cinquante	khamsîn - kramsîn
cinque	scian 	ሸን	ammest	አምስት	hammesctè	አምሽተ	cinq 	hhamsa, khamsa - kramsä
cintura	edàtti		saeqq	ሳቅ	seq	ሳቅ	ceinture	hezâm, hhizâm
cinturino	vorànto		tennisc-saq	ትንሽ ሳቅ	neùs-seq	ንሁሽ ሳቅ	ceinturon	hizâm, khêt
ciotola	wocitti	ወጬቲ	weccèt	ወጬት	sciahan	ሻህኒ	gobelet	gasha, mahznä
cipolla	kullubì	ቁልቢ	scenkùrt	ሽንኩርት	scegurtì	ሽንኩርት	oignon	basâla, bâssal - bsäl
cisterna	bollò bisani		bir		yelà		citerne	sahrîg, bir - mäzen
città	mandèr	መጋላ	catama	ከተማ	chetamà	ከተማ	ville	medîna, balâd - mdînä
civetta	dankàa		gaddiè	ግድ	guigguà		chouette	buma, massasa
clima	killensa	ቄሌንሳ	ayar, ayèr	አየር	ayèr	አየር	climat	menâkh, dinye, hâua, taqs
cocomero	kabè		dubba	ዱባ	dubba	ድባ	melon d'eau	battîha, battikh, qawûn
cognato	soddà	ሶዲ	amac, warsà	አማች፣ ዋርሳ	hamùt	ሃምት	beau-frère	aâddil, sahr, nesîb, sihr - nsîh
colazione	cursi		mesà	መሳ	qqursy	ቀርሲ	déjeuné	fotûr, futhûr - ftûr
colera	kamà		bascità		sceròkh		choléra	heida, haua asfar - gulirä
collina	gubbà		amba	አምባ	amba	አምባ	colline	âcama, tall, rabia - hargûb, rabbä
collo	morma	ሞርመ	anghet	አንገት	anghèt	አንገት	cou	râqaba, khinâq - rugba
colombo	bulalè	ቡላሌ	reugheb	እርግብ	reughbì	እርግብ	pigeon	hamâm
colono	gaberiè		aràsc	አራጭ	harestày	ሀረስታይ	colon	fellâh - fälläh
colore	bifa	ቢፋ	qqelèm	ቀለም	hebry	ህብሪ	couleur	lôn, gâmiq - lôn
coltello	bilò, billàna		carrà	ካራ	gered, carrà	ካራ	couteau	secchîn, sikkîne - mûs
coltivare	faciasu		arasè, azemmerè	አራስ፣ አዘመረ	haresè		cultiver	hamar, haras, falahh - hammer
coltivatore	kòtu, gaberiè	ቆቱ	arasc	አራሽ	harestà	አረሰቲ	cultivateur	fellâh, harras
comandante	abbà-dula		ghesg, degiàc		helaqqa, deggiac		commandant	maamur, raîs, zabîth
comando	motùma		teezàz	ትዕዛዝ	teezàz	ትህዛዝ	ordre	amr - hkûmä
combattere	lòlu		awagàghi	አውጊ	tewagheà	አውጋ	combattre	hârab, qatal - thârak
combattimento	dûla		weugghit		weghyà	ወጊሃ	combat 	mohâraba, qêtal - fitnêt, uâgha
come?	àka?		endièt?	እንዴት	chemèi?	ከመይ	comment?	mahai?, chef? - kif-äs?, kîf?
commerciante	negadì	ደልዲል	negaddiè	ነጋዴ	neghedè	ነጋዴ	commerçant	tagîar - têzer
compagno	firrà		balangerà	ባላጋራ	betsày		camarade 	sahb, saheb, zimîl - sâheb
comprare	bittu	ቤቴ	ghezzà	በዛ	addeghè, ghezè	እዳገ ገዛህ	acheter	asctara, istarâ - srê
comprendere	ubaciù		awaqè	አዋቂ	tereqheqhè		comprendre	âalam, âaraf, dâra - fhêm
comunicare	corobu		querebè	ቅረብ	neghierè		communiquer	faas - halâga, kâbber
con	wagin		be	በ	be		avec	maâ, uaeiâ, bi - mha
condanna	firdì	ፍረዲ	cunaniè	ኩነኔ	cuneniè	ኩነኔ	condamnation	eêcab, chesâs, qisas - hhûkum
condurre	dàku	አብዲ	merrà, marì	መራ	merhè	መራ	conduire	eâd, dal, uassal, saq, msä
confidenza	abdì	ዳሪ	emenèt	እምነት	emenet	እምነት	confiance	eêterâf - amnîjä
confine	dàri	በካ	dembèr, dareccià	ድንበር፣ ዳርቻ	darcià	ዳርቻ	confins	hâdd, had - hhâdd
congiura	ganàn		medollecià	መዶለቻ	mahla		complot	muâmara, taâssob, dasîsa - kriênä
conoscere	beku		awaqi, aweqqè	አዋቂ፣ 	felettè		connaître	aâraf, harraf - harêf
conquistare	moù		ghezè	ጊዜ	ghezzà	ጊዜ	conquérir	galab - erbâht
consuetudine	amala		lemad	ለማዳ	lemàd	ለመዳ	habitude	aâda, siwê - hâdè
consumazione	fitò		wacceresat		mewedat	መወዳታ	consommation	sell
contadino	gaberiè		arasc, balaghèr	አራሽ፣ ባላገር	harestày	ሃረስታይ	paysan	fellâh - fällähh
contento	gamaciù		dessialau	ደስአለው	heggùs		satisfait	mabsût, masrur - forhhân
conterie	cialliè		scellemtàt		scellemtàt		verroteries	zêna 
conto	lakàu		quotter, qqutter		tsebetsàb		calcul, compte	hessâb, hhisâb - hhsêb
convento	gadàmi		ghedàm	ገዳም	debrì, ghedàm	ደብረ ገዳም	couvent	diyûra, der
conversare	asàu		acciawetè	አጫወተ	awughè	አዋቂ	converser	khâddas, taâca - dwä
convito	gangà		deghès	ደረሰ	mesàh		banquet	gadâ - hasê
coperta	etillè		natalà	ነጠላ	wetciò		couverture	gâta, lahâf - sezzêdä
coppa metallo 	cotà		gombò	ገንቦ	tànnica		coupe	kâs, anâ, tasa maâdan
coprire	cadadu	ቀንዱ	cheddenè	ከደነ	kedenè	ክዳን	couvrir	gâtta, ghatta - kfä
coraggio	giabada		leub	ደፋር	habbò		courage	giasâra, basâla - szâhä
coraggioso	giaba 		arbegnà	አርበኛ	geughennà		courageux	giasûr, bâsel - szîäh
corano	koran		guràn	ቁራን	guràn	ቁራን	coran	guran - gûrhân
corda	fugnò	ፈፋኛ	ghemed	ገመድ	ghemèd	ገመድ	corde	habl, tîla - hhäbel
corpo	nafa		segà, ghelà	ሰጋ፣ 	segà	ስጋ	corps	giasad, gesm - zisem
correre	arredu		rotta	ሩጥ	gueyeye	ጉያ	courir	giara, girî - zrä
corte	ardaga, masserà		mekkabebià	ፍርድ ቤት 	ghembì		cour	dar, hôs - sâhha
corte imperiale	masserà môti		bietamenghèst	ቤተመንግስት	catamà	ከተማ	cour impériale	khedam el malek
corto	tinnò		atcer, accèr	አጭር	hatsìr		court	qisayyar, gasîr - gsîr
corvée	ghidisu		serà terèt	አድካሚ ስራ	tigrè töret		corvée	sciôgol taâb - sohl tahäb
corvo	bati		qqurà	ቁራ	quàkh		corbeau	gherâb - hurâb
cosa, coso	dubbì	ዴቢ	neghèr	ነገር	neghèr	ንገረ	chose, machin	scei, hagia, xey - sei, hâzä
coscia	lukà	ሉካ	tcen	ጭን	selèf		cuisse	fakhd - fahd
così	skàna		engì	እንጂ	kemzuy		ainsi	chedâ, chidi - häkkä
costumanza	adà		lemàd	ለማድ	lemàd	ልማድ	coûtume	siluê, aâda - hâdè
cotone	gerbì	ጀርቢ	tèt	ጥጥ	ttut	ጥጥ	coton	goton, qûtn - gûtun
cotto	bilciatè	ቢልቻቴ	besài, beusseul	የበሰለ	busùl		cuit	matbûkh, mistiwî - zdä
cranio	matà	መታ	yerassqel	የራስቅል	qqerenqqerà		crâne	ghimghîma, zimzmä
creatore	enhumè	ሁማ	fettarì	ፈጣሪ	fettarì	ፈጣሪ	créateur	khâliq, khalek
credente	kan amanè	ከን አመኔ	amagn	አማኝ	amanì	አማኒ	croyant	mûmen, mûmin
credere	amamu	አመኑ	ammenè	አመነ	amenè	አመነ	croire	dadak, amân - ämmen
creta	supè		meriet	ሸክላ	sciakhela		craie, argile	torâb, tin, ttabascir
criniera	gamè		gammà		gennogennò		crinière	duâba, nasiia - sbîbkêl
cristiano	amara		kristiàn	ክርስቲያን	kristiàn	ክርስቲያን	chrétien	rûmi, nusrani
crudo	dèdi		teriè	ጥሬ	tterè	ትሪ	cru	nây, fag - njî
cucchiaio	fallàna	ፈልአና	mencà	ማንኪያ	manca	ማንኪ	cuiller	maâlaqa - kasîk
cucina	mànaitò	መነአቶ	wett-bièt	ወጥ-ቤት	biet-tsebhì	ቤተፀበሃ	cuisine	matbakh - matbakh
cucire	hoddu		seffà	ሳፋ	sefeyè	ሰፌሃ	coudre	hhâyyat - kreijet
cuocere	affèlu		abesselè	አበሰለ	abselè	አብሰሊ	cuire	tabakh, sciaua - hlä
cuoco, cuciniere	itò tolcitu		uotserì	ወጥሰሪ	serah-tsebhì	ፀብሃ - ሰሪ	cuisinier	tabbâkh - tabbak
cuoio	gogà		gendì	ቆዳ	qqerbèt		cuir 	adim, ehâb - zeld
cuore	libà		leb 	ልብ	lebbi	ልቢ	coeur	qabb, lob - galb, gelb
custode	egà		ttebbaqqì	ጠባቂ	hallawi	ሃላዊ	gardien	hâres, gafîr, âfez - hassäs
cute	gogà		cuorbet	ቁርበት	qquerbèt	ቁርበት	peau	ghild, geld - zeld
da	gàra	ገራ	che	ከ	enkàb	ካብ	de	men, ân - minn, mûn, mûm
damigella	mahomecè		ligiagherèd	ሴት ሚዜ	ligegherèd	ልጃገረድ	demoiselle	bint, bneijä
dammi	na kenni	ናኬኒ	settlegn		ametseù		donne-moi	addyny - ahtâ
danaro	gattì	ገቲ	ghenzèb	ገንዘብ	ghenzèb	ገንዘቢ	monnaie, argent	felûs, darhem
danza	sirba	ሲርባ	zefèn	ዘፈን	gueilà		danse	raghs - râgs
danzatore	sirbu		zefenegna	ዳንሰኛ	gueilayny		danseur	krawâl
dare	kennaciù	ኬኑ	settè	ሰጠ	abè		donner	aâta, dafah - adda, âhta
dattero	iggià-meti		temr	ቴምር	temry	ቴምር	datte	tamr, beleh - artab, dêgla
dazio, pedaggio	carata		mebet, carrèt	ቀረጥ	qqersàt		péage, octroi	tasrih, rosûm, mâks
debole	laftu	ላፌቱ	dekkammà	ደካማ	dekhùm	ደጋማ	faible	âgiaf, daâif - mahlûl
decidere	tarsàu		wassàn	ወሰን	wessenè	ወሰን	dècider	hakam, sâmmam
delirio	busa		qebèugger	ትኩሳት	heteftèt		délire	aziân, sarsâm
denigrare	hamaciù		ammì	ወራጅ	hameyè		dénigrer	aâiab - sâbb
dente	ilcàn	ኡልካን	ters	ጥርስ	sennì	ሰኒ	dent	sen, sinn - sênn
dentro	kèssa	ኬሳ	be…wùts	ውስጥ	wuscettì		dedans	giûa, gûwâ - dâkrel
deposito	erghefaciù	ኤርጊፋን	aderà	አደራ	heudry		dépôt	mâkhzen, ua diâa, amâna
derubare	hattu	ሃቴ	serreqqè	ሰረቀ	sereqhè	ሰሪቁ	dérober	sarâk - knêb
deserto	edmà		bereà, dur	በረሃ- ዱር	medri-bedà	ምድረበዳ	désert	barrîa, sahra, gabal - khlâ
desiderare	abbàlu		felleghè	ፈለገ	arer-belè		désirer	habb, ragâb - sthâ
desinare	lakà	ላቄ	messà	ምሳ	temeshè		dîner	tagâdda, gadâ - thâssa
destino	mallàto		seràt, qen	ስርዓት- ቀን	weusny		destin	haz, qâda - mägdur
destra	mirgà		beqqègn	በቃኝ	iemàn		droite	iemîn, limîn - lêmenä
devoto	namawakajoti		menfesawi	መንፈሳዊ	menfesawi	መንፈስ	dévot	mûmen, amin - habeb
diarrea	albàti	አልባቲ	chezen	ቅዘን	aitallel		diarrhée	giarân - eshêl, ishêl
diavolo	saitàn		seittàn	ሰይጣን	seittàn	ሰይጣን	diable	ablis, scetân, sîtan - setân
dicembre	dodà-bati		tahesàs	ታህሳስ	tahesàs	ታህሳስ	décembre	canûn auwâl, dîsembar - zûmbar
dieci	kudàn	ኩዳን	assèr	አስር	assertè	አርስተ	dix	hasara - hasra
difendere	dorvoù		ttebbeqqè	ተበቀ	alleqhè	አኪሉ	défendre	hâmâ - fakk
difficile	diba	ዲባ	atcegarì	አስቸጋሪ	asceggarì	አስቸጋሪ	difficile	sâab, han, uahâr
digiuno	somi	ሶሚ	ttom	ጦም	tsom	ጾም	jeûne	som - siam
dimorare	giru		norè	ኑር	neberè	ንበር	demeurer	fedel, gâtan, sâcan - skén
Dio	Wak	ዋቀ	Eghzier	እግዜር	Amlàk	አምላክ	Dieu	Allah, Allâh - Ilâh
dire	himu	ሂሙ	negherè	ንገረው	bèle	በሎ	dire	gal, qâl - gal
dirigente	goità		ainetegna	አይነተኛ	merahy		directeur	raiis, mudîr, morsced - rêis
discorrere	bòru		tenagherè	ተናገረ	tenagherè	ተናገሪ	discourir, causer	tacâllam - duä
disgrazia	dekàmsa		mecherè	መከራ	denghèt		malheur	massîba,nakba, uâqha - ksâr
disobbediente	imbullu		emabitegnà	እምቢተኛ	abayì		désobéissant	môften, âassi - hêsi, dûdd
disopra	gararà	ገራራ	te….lai	ተ ላይ	lelì		dessus	fok, âla - hâla, fôg, hâli
disotto	gaddì	ገዲ	che…tac	ከ ታች	tahetì	ታሕቲ	dessous	asfal, taht - lôtä, tâhht, dûn
disperdere	bitìnfu	ቢተናሙ	betattenè	በታተነ	attefè		dissiper	âsraf, baddad - krâssar
disseccato	girìna		derèk	ደረቅ	neqùts	ነቂፁ	desséché	iâbes, nascef - jêbis, mahlûl
distante	fagòda	ፈጎዳ	raqqì, erùq	ራቅ፣ እሩቅ	rehùqh	ርህፁ	distant	bêiid - behid
distare	ghidù		reqè	ራቀ	reheqé	ራቀ	être distant	abtaâd, baâda - tbâhad
dito	cuba	ቁባ	tat	ጣት	atsabeu		doigt	subâh, osbaâ -sboha, sbah
diverso	gargàr	ገራገራ	lielà	ሌላ	feulùi	ፍሉይ	différent	mokhtelâf, mukhtalif - her
docile	gari		gherràm	ገራም	heiawài		docile	muncâd, motiê, tâyih
dodici	lamagià		hulett haser	ሁለት አስር	kiltè-asseriè	ክልተ አስር	douze	et nâsciar, it nâsar, ätnâs
dolce	dagmà		ttaffacc	ጣፋጭ	tteùm		doux	hèlu, wagah - aâgel
dolore	gadda	ገዳ	azèn	አዘን	hazèn	ሃዘን	douleur	uagiaâ, muqâsâh
domani	borù	በሩ	naghà	ነጋ	tseubàh		demain	gada, bukra, hûdua, hiduîke
domattina	bòru ganamà	በፋ ገነማ	neghè	ነገ	tsebah		demain matin	bukra es-subh, es-subâhh
domenica	sambata-guddà		sembet	ሰንበት	senbèt	ሰንበት	dimanche	ahhâd, el âhad - jomel-had
domestico	warama		loliè	ሎሌ	ghilewà		domestique	khâdem, khaddâm - hâddam
donna	antalò, dubartì	አንተሎ	siet	ሴት	sebeyty	ሰበይቲ	femme	masken, mara, nessâ - mrâ, hûrma
dono	kènna	ኬና	berechèt	በረከት	eiàb		cadeau	hadîa - bâkhscisc - hêdijä
donzella	nahomecè		lisgiaghered	ልጃገረድ	ligeghered	ልጃገረድ	demoiselle	bint, bnejiä
dopo	bodà	ቦዳ	hoalà	ኋላ	dehàr	ዳህር	après	haâd, bahd, bahdên, mbâhd
dopodomani	bòrubodà		behualà neghè	በኋላ ነገ	dehar tsebah	ዳህር ፀባሕ	après-demain	baâd bukra - bahd-hûdua
dormire	bocociù		tegnà	ተኛ	deqqesè	ደቅስ	dormir	nam - rgêd
dorso	dubà		gerbà	ጀርባ	zeban	ዝባን	dos	zahr - dahâr
sottore	beki	ቤካ	liqq, hakim	ሊቅ፣ ሐኪም	liqh	ሊቅ	médecin	hachîm, tabîb - tbyb
dove  	essa  	ኤሳ	uediet	ወዴት	abèi	አበይ	où	ein, fên - uên
dove vai?	essa dakkani?	ኤሳ ደቅጣ	wediet tehiedalleh	ወዴት ትሄዳለህ	nabei tekheid	ነባይ ትከይድ	où vas-tu?	ein mäsi? - uên mäsi?
duce	abbabula		raslai	ራስላይ	ducce		chef suprème	rais âali - rais fogâni
due	lama 	ለማ	hulèt	ሁለት	chiltè	ክልተ	deux	zôz (m. e f.), tnîn (m.), tintên (f.)
duecento	drbbalama	ዲባሶማ	hulèt metò	ሁለት መቶ	chiltè metò	ክልተምት	deux cents	mit-ên, mîtên
dunque	egà	ኤጋ	endih	እንዲህ	eumbearches	እንበር	donc	iza, bâqa - zâhma, giebdä
duro	giabà	ጀባዱ	bertù, tennù	በርቱ፣ ፅኑ	tsennùeu		dur	sâleb, gâmid - jäbes
durra	dappò		durra	ዱራ	durra	ዱራ	doura	qâsy
ebano	zòbi 		zoppì	ኢቦኒ	zebè		ébène	âbnus - ebnûs
ebbro	macciaè	መቻኤ	sakkàr	ስኳር	sekhr	ሽኳር	ivre	sacrân
ebreo	iudai		iehudi	አይሁዲ	ebrawy		juif	iehûdi, yahûdî - ihûdi
eccellente	baèssa		belàcc	በላጭ	belùts		excellent	aâzim - mlîähh jêser
ecco	ilamè	ኤላማ	enneò	እነሆ	enniò	እነሆ	voilà	ha, hä, râ, arâ, hoadâ
editto	abomi		awag 	አዋጅ	auwàg	አዋጋ	édit	amr, farmân
egli	hìnni	ኢኒ	ersù	እርሶ	nessù	እርሶ	il	hua, hu, hûwa - hûa, hûw
eglino, essi	isani	ኢሳራ	eursàcciau	እርሳቸው	nessù	እርሶ	ils	hum, homma, humma
elefante	arba	አርባ	zehòn	ዝሆን	harmàz	ሃዝማር	éléphant	fîl
elemosina	sadèka	ሰደቅ	metswàtt	መጽዋት	metswàt	መፅዋት	aumône	sadaqa, zâcua - sadga, hasanâ
ella, essa	isen	አሼን	ersuà	እርስዋ	nessà	ነሳ	elle	hia, hîya - hîjä, hä
èlleno, esse	isani	ኢሳን	eursacciau	እርሳቸው	nessà		elles	hum, homma, humma
elmetto	gonfò lolati		rasqùr	ራስ መከላከያ	qurae-reesy	ኩሪ እረሱ	casque	baydâ, bernêta
emigrare	logu		aghèr - leqqeqqè	አገር-ለቀቀ	gheagè		émigrer	rahal - läzz
empire	gùtu		mollà	መሞላ	melèe	መሞሉሁ	emplir	malâa - mlê
entrare	senu	ሴኒ	ghebbà	ግባ	atewè	እቶ	entrer	dâkhal, dakla - krâss
entrate	isini assenu		ghebà	ገባ	atewè	አቲው	entrez	hrûss
