English	Amharic		
የኢትዮጵያ ጎማ ቁጠባ ማኀበር ላሳየው ምሳሌ ለመሆን የሚችል አስተዳደር ድፍረት ብልህነት የመሻሻል ፍላጎትና ጠንካራ አመራር ኩባንያው ሲጀምር ዓለማውን ለመፈጸም መቻሉ የሚጠራጥር ቢሆንም ያስተዳደሩ ሲጀምር ዓለማውን ለመፈጸም መቻሉ የሚያጠራጥር ቢሆንም ያስተዳደሩ አርቆ ማሰብና ችሎታ የጎማ ማደስን ሥራ ዓለማ አልፎ ሰፋ ያለ የጫማ የጎማ ሶል  በመሥራት ከዚህ በፊት ከውጭ አገር ሶል ማምጣ የተገደዱትን የጫማ ኢንዱስትሪዎች ችግረ ለማቃለል ስለ ቻለ የ፲፱፻፶፯ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅት በኢንዱስትሪ ዋጋው የኢት ብር ፯ሺህ ከወርቅ ኒሻንና ዲፕሎም ጋር ይሠጠዋል። 	The Haile Selassie Award for industry of a value of Eth. $ 7,000 gold medal, and diploma will be awarded to The Ethiopian Tyre Ecopnomy plant for its examplary management that  has manifested over a period of seven years daring, ingenuity, progressiveness, and energetic leadership. The management has insight and ability to explore and succeed in a venture that was initially uncertain but which later succeeded  not only in the limited objective of rethreading used tyres, but in the larger enterprise of producing rubber soles for the previously importing shoe industries in Ethiopia. 		
ግርማዊ ንጉሠ ነገሥት ለአቶ ገብረ ኢየሱስ ኦ ሽልማት ሲሰጡ። አቅራቢ ፤ ሚስተር ፓይል። 	His Imperial Majesty awaring Ato Gebreyesus Oda, Presented by Mr. W.J. Pile.		
ክቡር ኮሎኔል ታምራት ይገዙ። 			
በአዲስ አበባ ከአሥመራ ዐድዋ፤ ባሕር ዳር ድሬዳዋና በሀገር ሕይወት ለሚገኙ በብዙ ሺ ለሚቆጠሩ ወጣቶች የመንፈሳዊ የትምህርት እዲሁም የማኀበራዊ ኑሮ አገልግሎት በመስጠት የወጣቶች ወንዶች ክርስቲያናዊ ማኀበር ለኢዮጵያ ሕዝብ ደህንነትና ዕድገት ረድቷል። እርዳታ የሚያስፈልጋቸውን ጠቃሚ እርዳታ ለመስጠጥ ማህበሩ ያከናወናቸው ሥራዎች ለሀገር ጥቅም ከመስጠታቸውም በላይ ማኀበሩ ጥሩ ምሳሌ ለመሆን ችሏል። 	In Addis Ababa Adwa, Asumera, Bhaer Dar, Dire Dawa and Hagere Hiwot, the influence of the young Men's Christian Asociation has made itself felt in tehe social educational and spiritual needs of thousands young men and women. It has given practical aid to the youth of Ethiopia and promoted their activities. It sets an example of service and ledership which is of incalculable value to this country. 		
የወጣቶች ወንዶች ክርስቲያናዊ ማኅበር ከ፲፯ ዓመታት በሚበልጥ ጊዜ ለሰው ልጅ ደህንነት የማሰብንና ዕውቀትን የተመረኮዘ የማኀበራዊ ኑሮ ተካፋይነትን ዓላማዎች በትምህርት በማኀበር  ከ ፲፯ ዓመታት በሚበልጥ ጊዜ ለሰው ልጅ ደህንነት የማሰብና ዕውቀትን የተመረኮዘ ማኀበራዊ ኑሮ ተካፋይነትን ዓላማዎች በትምህርት በማኅበራዊ ኑሮና በስፖርት ፕሮግራም ከመቶ አምሳ ሺህ በሚበልጡ ኢትዮጵያውያን አእምሮ የመቅረጽ ከፍያለ አገልግሎ ስለ ሰጠ የ፲፱፻፶፯ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት የኢት ብር ፯ ሺህ ከወርቅ ኒሻንና ዲፕሎም ጋር ይሰጠዋል። 	The Haile Selassie Award for Humanitarian Activities of of a value of Eth. $7,000 gold medal, and diploma will be awarded to the young Men's Christian Association in Ethiopia for its significant role over a period of 17 years in instilling high ideals of enlightened citizenship and concern for the welfare of fellowmen in teh minds of over 150,000 Ethiopias infll walks of life through the provision of diversified social educational and sports program. 		
የክቡር ኮሌኔል ታምራት ይገዙ የወ.ወ.ክ.ማ ሬዚዳንት መልስ። 	ACCEPTANCE SPEECH BY H.E. COL. TAMRAT YIGEZU PRESIDENT OF THE YMCA		
ግርማዊ ሆይ 	Your imperial Majesty 		
የኢትዮጵያ ወጣቶች ወንዶች ክርስቲያናዊ ማኅበር በኢትዮጵያ ሰለፈጸማቸው ሰብአዊ አገልግሎቶች ከቀዳማዊ ኃይለ ሥላሴ የሽልማት ድርጅት ስለተሰጠው ሽልማት በቦርዱ አባሎችና በልዩ ልዩ ኮሚቴዎች በሠራተኞቹና በማኅበርተኞቹ በጠቅላላው በብዙ ሺ በሚቆጠሩ ደጋፊዎቹ ስም ጥልቅ ምስጋናችንን አቀርባለሁ። 	Members of the imperial Court Trustees of the Haile Selassie I prize Trust Fellow Award Winners Excellencies, Ladies and Gentlem. One behalf of the Young Men's Christian Association's Board of MAnagers, our total membership, contributors and staff we weould like to express our deep appreciation to your imperial MAjesty and teh Trustees of teh Haile Selassie i prize Trust for this honour bestowed upon us. 		
ይህ ዛሬ የኢትዮጵያ ወጣቶች ክርስቲያናዊ ማኀበር ያገኘው ክብር በመላው ዓለም ያለውን የወጣቶች ወንዶች ክርስቲያናዊ ማኅበር የብዙ ጊዜ አገልግሎት የሚያስታውስ ነው። የወጣቶች ወንዶች ክርስቲያናው ማኅበር እንደ አውሮፓውያን ዘመን አቆጣጠር በ፲፷፻፵፬ ዓ.ም በጆርጅ ዊልም በእንግሊዝ አገር ከተመሠረተበት ጊዜ አንስቶ ዘርን ቀለምን ሃይማኖን ሳይለይ ሰውን በመንፈሱና በአካሉ በአእምሮውም ለማጎልመስና ለሁሉም ሰብአዊ አገልግሎት መስጠት ዋና ዐላማው ነው። በአሁኑም ጊዜ ሰማንያ የሚሆኑ አገሮች  በአባልነት የሚኙበት የዓለም የወጣቶች ወንዶች ክርስቲያናዊ ማኅበር ዋና መሥሪያ ቤት በጄኔቫ ይገኛል።  ግርማዊነትዎ የወጣቶች ወነንዶ ክርስቲያናዊ ማኅበር በኢትዮጵያ እንዲቋቋም በ፲፱፻፵ ዓ.ም ስለፈቀደ የኢትዮጵያ ወጣቶች ወንዶች ክርስቲያናዊ ማኅበር በ፲፱፻፶፫ ዓ.ም በዓለም ወ.ወ.ክ.ማዎች ኅብረት ውስጥ ሙሉ አባል ሆኖ ታወቀ። 	This honour is being shared with the YMCAs around the world. Telegrams have been received expressing their apprecitaion to your imperial majesty and congratulations to the Ethiopian YMCA. For our YMCA this honour brings into focus a long tradition of service to  youth through the YMCA. The YMCA movement had its beginning in London, England in 1844. There  have been many significant highlights in teh history of teh EThiopian YMCA starting with your majesty's reqest to the World Alliance of YMCAs in Generva, Switzerland in 1947 for a YMCA to be established in EThiopia. Then came the involvemetn of the international Committee of YMCAs of the United States and Canada in 1950, and following 11 years later in 1961 we were recognized as full members in teh World Alliance. Today this recognition amplifies our common concern for the welfare of youth.		
			
የኢትዮጵያ ወጣቶች ወንዶች ክርስቲያናዊ ማኅበር በልዩ ልዩ ፕሮግራሞች በብዙ ሺህ ለሚቆጠሩ ሰዎች አገልግሎቱን ያበረክታል። እነዚህም  ልዩ ልዩ አገልግሎች መሠረተ ትምህርት የሕጻናት ትምህርት ቤት የእረፍት ጊዜ ምቾት መስጠት እስፖርት ለልጆች ለክበብ አገልግሎ ለሕዝብ የእውቀት መስጫ ፕሮግራም  ባሕላዊ የሙዚቃ ፕሮግራም ንግግር ፤ ክርክር በህብረትና በቡን የመጫወት ትምህርት የእጅ ሥራ ትምህርት፤ ለማጎልማሶችም እንደየዝንባሌአቸው  የክበብ አገልግሎ እንደጠቃነታቸው እየታ  ይሰጣሉ። የቦዱ ሥራ አስኪያጅ በድርጅቱ ውስጥ የልዩ ልዩ የሥራ ክፍል ኮሚቴ አባሎች የማኅበሩ ሠራተኞ በበጎ ፈቃዳቸው የፈጸሙትን ከፍ ያለ አገልግሎ ለገረርማዊነትዎ ስገልጽ ከልብ ከማመስገን ጋር ነው። 	Youth from all walks of life participate in teh multiphase program of the Ethiopian Association:- in literacy prgrams. bnoys' schools, recreation, sports,  boys' clubs, mass education, musical prgrams, lectures, debates, team sports, craft classes, yyoung mens' clubs and numerous other activities which are created around teh need and interests of our youth. 		
	We wish to express our appreciation for the untiring work and devotion of our YMCA Board of MAnagers, our many committees, and our staff. 		
ግርማዊነትዎ ለኢዮጵያ ወጣቶች ወንዶች ክርስቲያናዊ ማኅበር ባለማቋረጥ ያደረገልን ማበረታታትና ድጋፍ ለመቼም የማይረሳና ማህበሩንም ጽኑ አድርጎት ይኖል። የቀዳማዊ ኃይለ ሥላሴ የሽልማት ድርጅት  የሚጠንንም ገንዘብ ወጣችን በበለጠ ለማገልገል በሚዘጋጀው የፕሮራም አቅድ እንዲውል እናደርጋን። እንደዚሁም አካላው የጠነከረ ፤ መንፈሳቸው የዳበረ ዲል እናደርጋን። እደዚሁም አካላቸው የጠነከረ መንፈሳቸው የዳበረ መልካም ኢትዮጵያውያንን ለማፍራት ይረዳናል  ብለን አምነንበታል ኒሻኑንም የመሠረት ሐውልት አድርገን ለሁል ጊዜ እንመለከተዋለን። 	We are deeply grateful to Your imperial MAjesty for your continued inspiration to and support of our YMCA. Be assured that the award money will be used for the extension of program services for youth and the medal will be displayed in teh young Men's Christian Association. Be assured that the award money will be used for the extension of program services for youth and the medal will be displayed in teh young Men's Christian Association. 		
ይህ ማኅበር ከፍተኛውን ሽልማት በመቀበሉ ከሰማያ በላይ  የሆኑትን የዓለም አባል አገሮች ሁሉ ደስታቸውን በቴሌግራም ገልጠዋል። ይህ ዛ ለወጣቶች ወንዶች ክርስቲያናዊ ማኅበር የተደረገለት የክብር ሽልማት ለድርጅቱ ታላቅ ደስታ የሚሰጠው ከመሆኑም በላይ ወደፊ በበለጠ ለመሥራት የሚያበረታታው ይሆናል። ለዚሁም ሁሉን የሚል እግዚአብሔር እንዲረዳን እንለምነዋለን።  	This recognition and honor is not only a great joy for the YMCA but it is also a humbling experience and a challenge. It is humbling in that it makes us evaluate and see our many shortcomings, and humbling as we are made aware of the power of God and the way in which this power works among people in the positive ways in which god makes all things possible. This is a challenges as we see ways in which we might better serve God and as we look to the future. Once again, Your imperial Majesty and the Haile Selassie i prize Trust, thank you for this honour, the Haile Selassie i prize Trust Award for Humanitarian Activities.  		
ከግርማዊ ንጉሠ ነገሥት እጅ ኮሎኔል ታምራት ይገዙ ሲሸለሙ። አቅራቢ ክቡር አቶ ሥዩም ሐረጎት። 	His imperial Majesty awarding H.E. Colonel Tamrat Yigezu, presented by H.E. Ato seyoum Haregot		
ግርማዊት እቴጌ መነን ሽልማት ፤ ፲፱፻፶፯ ዓ.ም 	EMPRESS MENEN AWARD 10 OCTOBER 1964 		
ፕሮፌሰር ቲሲሰየስ የኖቤል ድርጅት ፕሬዝዳንት 	THE NOBEL FOUNDATION 		
የኖቤል ድርጅት ባሁኑ ክፍለ ዘመን በሙሉ የእልፍሬድ ኖቤልን ሐሳብና ዓላማ በዓለም የታወቁ ሽልማቶች በመስጠት ከፍ ባለ ደረጃ አከናውኗል። ድርጅቱ በትክክልና ተመጣጣኝ በሌለው ደረጃ ሥራውን በረጅም ዘመን በመሥረቱ የአብዛውን የዓለም ሕዝብ አድናቆት አግኝቷል። 	Throughout this century the Nobel foundation has translated the beneficence of Alfred Nobel into a great record of international awards, The foundation has won the respect and administration of the greater part of teh world for its integrity, courage impartiality, internationality and conscientious judgement. 		
የኖቤል ፋውንዴሽን በመላው ዓለም ከፍ ያሉ ሥራዎችንና ዓላማዎችን በማሳወቅና በማበረታታት ለሰው ልጅ በማገልገሉ የ፲፱፻፶፯ ዓ.ም የግርማዊን እቴጌ መመን ሽልማት የኢት ብር ፴፭ ሺህ ከወርቅ ኒሻንና ዲፕሎም ጋር ይሰጠዋል። 	The Empress Menen Award given once in four years on teh intiative of the Trustees- with a value of Eth. $35,000 , gold medal, and diploma will be awarded to The Nobel foundation, for services to humanity in the recognition and encouragement of high purpose wherever it may be found in teh world. 		
ለኖቤል ድርጅት በተሰጠበት ወቅት የፕሮፌሰር ቲሲሊየን ንግግር 	ACCEPTANCE SPEEC BY PROF. A. TISELUS 		
የግርማዊነት እቴጌ መነን ሽልማት በመቀበል ለተጎናጸፈው ክብር የኖቤል ድርጅት ጥልቅ የሆነ ወሮታውን ይገልጻል። 	In deep respect, teh Nobel Foundation with to express their gratitude for the great distinction conferred upon us, the Empress Menen Award. 		
ለሰው ልጅ ጥቅም የሚፈጸመውን መልካም ተግባ በመቀበልና በማበረታታት የቀዳማዊ ኃይለ ሥለሴና የኖቤል ድርጅት ዓላማቸው አንድ ነው። እንዲሁም የቀዳማዊ ኃይለ ሥላሴና የኖቤል ድርጅት ተሸላሚ በሚመረጥበት ጊዜ ዓለማቱን ለተሸለው ተሸላሚ በመስጠጡ ሁለት ድርጅቶች በሥራቸውም አፈጻም ተመሰሳዮች ናቸው። 	The Haile Selassie i prize Trust and the Nobel Foundation have similar aims- ro recognize and to encourage achievements to the benefit of mankind. The Haile Selassie i prize Trust Awards and teh Nobel prizes also have in common that they are to be given to the worthiest without regard to  nationality, race , religion of political creed. 		
እነዚህን ታላላቅ ዓላማዎች ከግብ ለማድረስ የሚል መሆኑን በጊዜ ብዛ ለመገንዘብ ችለናል። እርግጥ የሚገጥሙ ችግሮች አሉ ጉድትም በፍጹ ተወግዷል ለማለት አይቻልም። ይሁን እንጂ ምንም እንኳ በዛሬው ዓለም ተቃራኒ ሃሳቦች በብዙ  በኩል ሲነጣጠሩ ብናይ ለሰው ልጅ በጎ አድራጎት ባበረከቱ ሰዎች ላይ የሚማማ ዓለም አቀፍ አስተያየት ማግኘት የሚችል መስሎ ይታየናል። ይህም በጎ ተግባር ጠለቅ ዘለቅ ባለ አስተያየት ስንመለከተው ስምምነትን ማስገኘቱ የሰውን ልጅ ወሮታ ይገልጻል። 	Our experience has show to us that it is possible to fulfill this high purposes, The difficulties are obvious and shrtcomings cannot be avoided. However, we are under the impression that even in a world of conflicting opinions in many perhaps in most questions, it is possible to find a manifest international opinion for awarding those who have made particularly valuable contributions to human welfare, human welfare in its widest and deepest sense, as an expression of teh gratitude of mankind. 		
ግርማዊነትዎ ይህን የሽልማት ድርጅት አስቦ በማቋቋሙ እጅግ ከፍ ያለ አክብሮትና አድናቆት ይሰማናል። ኢትዮጵ በባሕል ረገድ ያላትን በመመልከት የድርጅቱ ቤትና መኖሪያ በኢትዮጵ ውስጥ መሆኑ በራሱ በቂ ምልክት ነው። 	We have the greatest respect and admiration for the initiative taken  by your imperial Majesty in creating this prze Trust. We believe that it is significant that Ethiopia with its high clutural ambitions and its prominent position in the great continent of Africa will be the home of this Trust. 		
ይህ ድርጅት ለመጭው ጊዜ በሚያሳየው ተስፋ እምነታችን ከፍ ያለ ነው። ሥራውንም ለወዳጅነት መንፈስና በአሳቢን እከታተለዋለን። 	We have great confidence in its future and we shall follow its activities with great sympathy and great interest. 		
በኖቤል ድርጅት ስም ለግርማዊ ንጉሠ ነገሥት ጥልቅ ምስጋናዬን እንዳቀርብ ንጉሣዊ ፈቃድዎን እጠይቃሁ። 	On behalf of the Nobel Foundation, may i express to your imperial Majesty our deepest gratitude. 		
የግርማዊነት እቴጌ መነን ሽልማት ለኖቤል ድርጅት ሲሰጥ ከግርማዊነታቸው ተቀባይ ፕሮፌሰር ቱሲልዮስ። 	Empress Menen Award: Prof.  Tiselius, on behalf of the Nobel Foundation, receives the prize.		
የ፲፱፻፶፷ ዓ.ም የቀዳማዊ ኃይለ ሥላሰ ተሸላሚዎች።	1965 Haile Selassie prize laureates. 		
ፕሮፌሰር ዎልፍ ሌስላው	PROFESSOR WOLF LESLAU		
የፕሮፌሰር ዎልፍ ሌስላው እንደ አውሮፓ አቆጣጠር ኅዳር ፮ ቀን ፲፱፻፮ ዓ.ም ቼኮባ ፖላንድ ተወልደው በዩኒቨርሲቲ ኦፍ ቪየና ፓሪስ በሚገኘው ኤኮል  ናሲዮናል ዴላንግ ኢሪዬንታልና የዶክተር ዲግሪያቸውን ባገኙበት ለሶርቦን ተማሩ። 	professor Leslau was born on November 14,1906 in Czeschowa, poland, at the University of Vienna, and in Paris at the Ecole National des Langues Orientales, and the Sorbonne, where he obtained his Licence-es-Lettres and Docteur-es-Lettres. 		
ካስተማሩባቸው ብዙ ከፍተኛ ትምህርት ቤች ብራንዴዩዝ ዩኒቨርስቲ ኒው ስኩል ኦፍ ሶሻል ሪስርች ኤሽያ ኢንስቲትዩትና በጎብኝ ፕሮፌሰርነት አዲ አበባ ዩኒቨርሲቲ ኮሌጅ ናቸው። አሳቸውም የሒብሪውና የሴሜቲክ ቋንቋዎች የፕሮፌሰርና ቅርብ መስሥራቅና የአፍሪካ ቋንቋዎች ክፍል ሊቀ መንበር ሆነው ካሊፎርኒያ ዩኒቨርሲቲ (ሎስ እንለስ በማስተማር ላይ ይገኛሉ። በሴሚቴክ ጥናት ለሠሯቸው ሥራዎች በቅርብ ጊዜ ፲፱፻፶፷ ዓ.ም ፋኩልቲ ሪሰርች ሌክቸረር ሆነው በሥራ ጓደኞቻቸው ተመርጠዋል ደራሲ መምህርና የኦሪዮንታል ጥናት ሊቅ የሆኑት የፕሮፌሰር ሌስላው ፲፯ መጽሐፎችና ከ፪፻ የሚበልጡ አጫጭር ጽሑፎች ጽፈዋል። 	He has taught in several institutions among which are Brandeis Unviersity, New School for Social Research, Asia Institute, and the University College of Addis Ababa as a Visiting professor. He is presently [professor of Hebrew and Semitic Linguistics and Chairman of the Department of Near Eastern and Africa Languages at the University of California, Los Angeles. He was recently nominated FAculty Research Lecturer for 1965-66 by his colleagues in recongnition of his achievements in Semitic studies. Author, educator, orientalist, Prof, Leslau has written 17 books and over 200 articles. 		
ባለፉት ሠላሳ ዓታት ውስ ስለ ኢትዮጵያ ቋንቋዎ ጥልቅ ምርምር በማድግና በማሳተም ለኢትዮጵያጥገና ዕድገት ረድተዋል። በተለይ ካበረከቱአቸው የምርምር ሥራዎች የትግርኛ ቋንቋ ሰዋስው የሐራሪ ቋንቋ መዝገበቃላት ስለ ጋፋት ቋንቋ ስለ አማርኛ ቋንቋ ታሪክ ስለ ጉራጌ ቋንቋና እንደዚሁም ከአረብኛ ስለ ተወሰዱ ቃላት የጻፉአቸው ከፍተኛ አስተያየት የሚሰጣቸውና ጠቃሚ ሥራዎች ናቸው። 	Prof. Leslau has conducted research in teh Eghiopic languages during the last thirty years and published extesnively, his most important contributions including a Tigrgana grammar, the obnly scientific grammar of Tigre, a description of the Gafat languge, a number of studies of teh history of Amharic, numerous studies on teh Gurage dialects, a Harari dictionary, and a series of articles on Arabic loanwords in the Ethiopian languages. 		
የፕሮፌሰር ሌስላው ሥራ ፍላጎት በቋንቋ የተወሰነ ባለመሆኑ ስ ፈላሽዎች ባሕል ጥናት በማድረግ የኢትዮጵ ተረቶች በሉላ ሀገሮች  በማሳወቅ እደዚሁም ወጣች ኢትጵያውያንን በማስተማርና በማበረታታት ተጨማሪና ቀዋሚ ሥራዎች ሠርተዋል። የሚያስምሩበትም የካሊፎርኒያ  ዩኒቨርሲቲ በአዲሱ ዓለም የኢትዮጵ ጥናት ዋና መከታተያ ለመሆን የበቃው በፕሮፌሰር ሌስላው ትግንላ ጥረት ነው። 	His intrest, however, its by no means limited to pure linguistics, but extends to culture and folklore He has made a scientinc study of the Falashas and their litrature, and has also done much to polularize Ethiopia folkore in other lancs. As a dedicated teacher, he has striven to encourage young Ethiopian scholar to take an interest in the scientific study of their own culture and linguistics, and their litrature, and has also done much to popularize Ethiopian studies in the New World. 		
በኢትዮጵያ ውስጥ ሚገኙትን ቋንቋዎች ዘመናዊ የቋንቋ ሕጎችና ሥርዓትን በተከተለ መንገድ በማጥናት ያበረከቱአቸው ጽሑፎች ከፍ ያለ ጥቅም የሚሰጡና ብዙ በመሆናቸው የቀዳማዊ ኃይለ ሥላሴ ሽልማት በኢትዮጵያ ጥናት ዋጋው ፰ ሺህ ብር የወርቅ ኒሻንና ዲፕሎም ይሰጣቸዋል። 	Prof. Leslau will  be awarded the 1965 Haile Selassie Award for Ethiopian studies of a value of Eth.$20,000 - gold medal, and diploma for his outstanding scholarship in particular for having spent a lifetime systematizing the knowledage of the Ethiopian languages and providing a scientinc classification of them. 		
የፕሮፌሰር ውልፍ ሌስላው ንግግር 	ACCEPTANCE SPEECH BY PROF. WOLF LESLAU		
ግርማዊ ሆይ 	YOUR IMPERIAL MAJESTY, Members of the Board, Ladies and Gentlemen:- 		
የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅት ኢትዮጵን ነክ በሆኑ ጥናቶች ይህንን ሽልማት ስላበረከተልኝ ጥልቅ የሆነ ምሥጋናዬን አቀርባለሁ። በተለይም ከክርስቶስ ልደት  በኋላ  ገና ካራተኛው መቶ ዓመት ጀምሮ የእምሮን ጉልምስና ካሳየ አገር ይህንን ሽልማት በማግኘቴ ትልቅ ደስታ ይሰማኛል። ከዚያን ዘመን ጀምሮ ኢትዮጵያ ባህሏን ታሪኳንና ሃይማቷን በየሐውልቱና በየበንራናው እመዘገበች መቆየቷ የታወቀ ነው። 	I wish to express my profound gratitude to the Haile Selassie I prize Trust for having aganted me the award for Ethiopian Studies. I am particularly happy for having received the award from a country that manifested its intellectual maturity as far back as the 4th century of our era. 		
ዳግመኛም የዛው ኢትዮጵያ መንግሥት በግማዊ ቀዳማዊ ኃይለ ሥላሴ መሪነት ልዩ ልዩ የምርመራና የጥና ድርጅቶችን አቋቁሞ  የአገሪቱን የባህል ቅርስ ማጠናቀቅ መጀመሩም ሌላ የአእምሮ ጉልምስና ምልክት ነው ይህንን ስል ፤ የኢትዮጵያን ባህል በሰፊው የሚያጠኑ ድርጅቶችን መጥቀስ ነው። በተጨማሪም የኢትዮጵያን ባህል በልዩ ልዩ መልኩ የሚጠኑን ሊቃውንት ሥራ ፍሬ ነገር ያለው መሆኑን መገንዘብም ሌላ የአእምሮ ጉልምስና ምልክት ነው። ይህንንም የሊቃውንት ጥረት ቁም ነገራምነት ተረድቶ ሥራቸውን ማበረታታት የጀመረው የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅተ ነው። 	Indeed. beginning with that time Ethiopia was able to record its culture, history and religion through inscriptions and literary documents. It is a further a sign of intellectual maturity that the present government of Ethiopia under the leadership of His imperial Majesty Haile Selassie i, Started to take stock of its cultural heritage through the creation of various institutions of research. I am referring to the archeological mission and teh institute of Ethiopian Studies, institutions that investigate the culture of the country in its broad aspects. It is a sign of intellectual maturity to given recognition to the scientific contributions of those individuals who study the various aspects of Ethiopian culture. The Haile Selassie I prize Trust tiook this initiative. 		
የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅት የቋንቋ ምርመራ ለአገሪቱ ባህልና ታሪክ ጠቃ መሆኑን ተረድቶ ፤ ኢትዮጵያን ነክ ለሆኑ ጥናቶች የተወሰነውን ሽልማት ለቋንቋ ሊቅ በመስጠቱ  በተለይ በጣም ደስ ብሎኛል። ስለ ኢትዮጵ ጥናት ምርመራ ለደከመ፤ በደለይም ለውጭ አገር ሊቅ፤ ሽልማት 	I am particularly happy that the Haile Selassie I prize Trust by granting the Award for Ethiopian Studies to a linguist has recognized the importance that investigation of the country's various languages holds for our knowledage of Ethiopia's cultural and historical past. 		
ከግርማዊነታቸው እጅ ተሸላ ፕሮፌሰር ሌስላው። አቅራቢ ክቡር ልጅ ካሣ ወልደማርያም	His imperial MAjesty awarding prof. W. Leslau, presented by H.E. Lidj Kassa Wolde Mariam. 		
ማቱን መስጠትም አሁንም እንደገና የአእምሮ ጉልምስና ምልክት ነው። ይኽን ያህል የአእምሮን ጉልምስና ያሳዩ መንግሥታት በብዙ አይገኙም። ይሁን እንጂ የሕይወቱን ጊዜ በሙሉ ለዚሁ ጥናት በመሠዋት እንዲህ ዓይነቱን ሽልማት የሚቀበል ኢትዮጵያዊ የሚገኝበት ቀን እንደሚደርስ ተስፋ አደርጋለሁ። ይኸውም ቀን ሩቅ እንዳይደለ አምናለሁ። ለዚሁም ማስረጃ ያለፈው ያገሪቱ ሥልጣኔ፤ እንዲሁም ደግሞ እንዲህም ውጭ አገር  ከፍተኛ ትምህርትን የሚከታሉ ኢትዮጵያውያንና የተራው ሕዝብ ስለአገራቸው ባህል ያቸውን አስተያየት መመልከት ብቻ ይበቃል። ተራው ሕዝብ ስለ አገሩ ባህል ያለውን አስተያየት የሚያስረዳ ያገሪቱን ልዩ ልዩ ቋንቋዎች ፤ ለምሳሌ እንዳደሬ፤ እንደ ቸሐ፤ እንደ ስልጤና እንዳርጎባ የመሳሰሉን አጠናበትና እመረምርበት በነበረ ጊዜ ተራው ሰው አልፎ አልፎ ጊዜየየን ለምን በነዚህ ቋንቋዎች እንደማሳለፍ ሲጠይቀኝ፤ እም ለታሪክ ነው ብዬ መልስ ስሰጠው ነገሩን በመገንዘብ ብዙ እርዳታ አድርጎልኛል። 	It is a sign of intellectual maturity that the Award for Ethiopia Studies was given to a non-national for his contributions to Ethiopian Studies. Few nations have achieved this maturity. I hope, however, that the day will come wehen the recipien of this award will be an Ethiopian national, an Ethiopian who will devote his lifetime to the country, the attitude of today's intellectual who studies either at the University of this country or abroad, and the attitude of teh non- intellectual who was curious about my reasons for giving attention to languages such as Chaha, Adare, Selti and Argobba . And when I answered that i did it,, latarik". for history , for research, he understood this reason and gave me his full coopration. 		
እንደዚህ ያለውን የተማረውንና የተራውን ሕዝብ አስተያየት ስንመለከት፤ የሽልማቱ ተቀባይ ኢትዮጵያዊ የሚሆንበት ቀን መቃቡን እንረዳለን። ይህ ዓላማ ከግብ እንዲደርስ መረዳቴን በመተማመን የቀዳማዊ ኃይለ ሥላሴ የሽልማት ድርጅት የሚሰጠውን ሽልማት ከታላቅ ምስጋና ጋር እቀበላለሁ። 	It is this attitude of the intellectual and or the non-intellectual alike that makes us foresee the day when the recipient of the Award for Ethiopia Studies will be an Ethiopian. It is in the hope of having contributed towards the achievement of this goal that I grateful accept eh Haile Selassie Award foe Ethiopian Studies.		
ክቡር ባላምባራስ ማኅተም ሥላሴ ወልደ መስቀል  	H.E. BALAMBARAS MAHTEME SELASSIE WOLDE MESKEL 		
ክቡረ ባላምባራስ ማኅተም ሥላሴ ወልደ መስቀል እንደ አውሮፓ አቆጣጠር ፲፱፻፭ ዓ.ም አዲስ አበባ ተወልደው በዳግማዊ ምኒሊክ ትምህርት ቤት ካይሮ በፈረንሣይ ሊና በኢንስቲትዩት ናሽናል ሱፔሪየን ደአግሪኩልቱር ኮሌኒያል (ፓሪስ) ተምረው የእርሻ ዲፕሎማ ተቀብለዋል። ክቡርነታቸው አስር ልጆች አሏቸው። 	H.E. Balambaras Mahteme Selassie Wolrd MEskel was born on October 29th , 1950 in Addis Ababa and is the father of ten Children. Educated at Menelik II Schools, Addis Ababa Frency ,, Lycee" in Cairo, and institute National Superieur c'Agriculture Colonial in paris, H.E. Balambaras Mahteme Selassie holds a diploma in general agriculture. 		
በኢትዮጵያና  በውጭ አገር መንግሥት የተሸለሙና ብዙ ጊዜ በብዙ መስመሮች በትጋት ያገለገሉ ከ ፍተኛ ባለሥልጣን ናቸው። ክቡርነታቸው የእርሻ የገንዘብ ሚኒትርና በትምስህርትሚኒትር ዴታ ሆነው ሠርተዋል። የሥራና መገናኛ ሚኒትርሆነው በማገልገል ይገኛሉ። 	Decorated many times at home and abroad, His Excellency is distinguished public official with many years of dedicated service in various fields. His Excellency has served as Minister of Agriculture, Finance, Minister of State in teh Ministry of Education, and is presently the Minister of public workers and Communications. 		
